node_index,depth,left_rank,right_rank,weight,color
1026,10,1,1,1,4
256,8,2,3,2,11
128,7,4,8,5,3
64,6,9,21,13,2
32,5,22,30,9,9
16,4,31,49,19,1
8,3,50,98,49,7
4,2,99,183,85,5
2,1,184,383,200,1
1027,10,0,0,1,4
514,9,3,3,1,4
257,8,0,1,2,11
515,9,2,2,1,4
16518,14,5,5,1,10
1032,10,6,7,2,4
258,8,8,8,1,11
129,7,0,3,4,3
16519,14,4,4,1,10
4134,12,7,7,1,10
1033,10,4,5,2,4
4135,12,6,6,1,10
259,8,4,7,4,11
520,9,10,12,3,4
260,8,13,13,1,11
130,7,14,21,8,3
65,6,0,8,9,2
1042,10,11,12,2,10
521,9,9,9,1,4
33382,15,12,12,1,7
1043,10,10,10,1,10
33383,15,11,11,1,7
261,8,9,12,4,11
524,9,15,17,3,4
262,8,18,21,4,11
131,7,9,13,5,3
2100,11,16,16,1,7
1050,10,17,17,1,10
525,9,14,14,1,4
2101,11,15,15,1,7
1051,10,15,16,2,10
526,9,19,21,3,4
263,8,14,17,4,11
2108,11,20,20,1,7
1054,10,21,21,1,10
527,9,18,18,1,4
2109,11,19,19,1,7
1055,10,19,20,2,10
528,9,23,23,1,4
264,8,24,25,2,11
132,7,26,26,1,3
66,6,27,30,4,2
33,5,0,21,22,9
529,9,22,22,1,4
530,9,25,25,1,4
265,8,22,23,2,11
531,9,24,24,1,4
133,7,22,25,4,3
268,8,28,29,2,11
134,7,30,30,1,3
67,6,22,26,5,2
1078,10,29,29,1,4
269,8,27,27,1,11
1079,10,28,28,1,4
135,7,27,29,3,3
136,7,32,34,3,3
68,6,35,38,4,2
34,5,39,49,11,9
17,4,0,30,31,1
2192,11,33,33,1,4
274,8,34,34,1,11
137,7,31,31,1,3
2193,11,32,32,1,4
275,8,32,33,2,11
138,7,36,38,3,3
69,6,31,34,4,2
278,8,37,38,2,11
139,7,35,35,1,3
558,9,38,38,1,4
279,8,36,36,1,11
559,9,37,37,1,4
140,7,40,42,3,3
70,6,43,49,7,2
35,5,31,38,8,9
282,8,41,42,2,11
141,7,39,39,1,3
566,9,42,42,1,4
283,8,40,40,1,11
567,9,41,41,1,4
36374,15,44,44,1,10
568,9,45,46,2,4
284,8,47,47,1,11
142,7,48,49,2,3
71,6,39,42,4,2
36375,15,43,43,1,10
1138,10,46,46,1,10
569,9,43,44,2,4
1139,10,45,45,1,10
285,8,43,46,4,11
