node_index,depth,left_rank,right_rank,weight,color
4096,12,1,1,1,16
2048,11,2,4,3,6
1024,10,5,12,8,5
512,9,13,32,20,9
256,8,33,63,31,15
128,7,64,129,66,3
64,6,130,237,108,2
32,5,238,456,219,1
16,4,457,945,489,11
8,3,946,1936,991,17
4,2,1937,3854,1918,8
2,1,3855,7739,3885,1
4097,12,0,0,1,16
16392,14,3,3,1,7
4098,12,4,4,1,16
2049,11,0,1,2,6
16393,14,2,2,1,7
4099,12,2,3,2,16
16400,14,6,6,1,7
4100,12,7,8,2,16
2050,11,9,12,4,6
1025,10,0,4,5,5
16401,14,5,5,1,7
16406,14,8,8,1,7
4101,12,5,6,2,16
16407,14,7,7,1,7
8204,13,10,11,2,7
4102,12,12,12,1,16
2051,11,5,8,4,6
16410,14,11,11,1,8
8205,13,9,9,1,7
16411,14,10,10,1,8
4103,12,9,11,3,16
16420,14,14,15,2,7
8210,13,16,17,2,16
2052,11,18,23,6,6
1026,10,24,32,9,5
513,9,0,12,13,9
65684,16,15,15,1,8
16421,14,13,13,1,7
65685,16,14,14,1,8
16422,14,17,17,1,7
8211,13,13,15,3,16
16423,14,16,16,1,7
16424,14,19,19,1,8
8212,13,20,20,1,7
4106,12,21,23,3,16
2053,11,13,17,5,6
16425,14,18,18,1,8
8213,13,18,19,2,7
8214,13,22,23,2,7
4107,12,18,20,3,16
16430,14,23,23,1,8
8215,13,21,21,1,7
16431,14,22,22,1,8
131460,17,25,25,1,7
4108,12,26,28,3,16
2054,11,29,32,4,6
1027,10,13,23,11,5
131461,17,24,24,1,7
32878,15,27,28,2,7
4109,12,24,25,2,16
65758,16,28,28,1,8
32879,15,26,26,1,7
65759,16,27,27,1,8
8220,13,30,31,2,7
4110,12,32,32,1,16
2055,11,24,28,5,6
16442,14,31,31,1,8
8221,13,29,29,1,7
16443,14,30,30,1,8
4111,12,29,31,3,16
2056,11,34,41,8,6
1028,10,42,53,12,5
514,9,54,63,10,9
257,8,0,32,33,15
16456,14,35,35,1,10
8228,13,36,38,3,7
4114,12,39,41,3,4
2057,11,33,33,1,6
16457,14,34,34,1,10
65834,16,37,37,1,8
16458,14,38,38,1,10
8229,13,34,35,2,7
65835,16,36,36,1,8
16459,14,36,37,2,10
65850,16,40,40,1,10
16462,14,41,41,1,7
4115,12,34,38,5,4
65851,16,39,39,1,10
16463,14,39,40,2,7
65856,16,43,44,2,8
8232,13,45,46,2,7
4116,12,47,49,3,16
2058,11,50,53,4,6
1029,10,33,41,9,16
263428,18,44,44,1,4
65857,16,42,42,1,8
263429,18,43,43,1,4
16466,14,46,46,1,8
8233,13,42,44,3,7
16467,14,45,45,1,8
16468,14,48,48,1,8
8234,13,49,49,1,7
4117,12,42,46,5,16
16469,14,47,47,1,8
8235,13,47,48,2,7
8236,13,51,52,2,7
4118,12,53,53,1,16
2059,11,42,49,8,6
16474,14,52,52,1,8
8237,13,50,50,1,7
16475,14,51,51,1,8
4119,12,50,52,3,16
65944,16,55,55,1,7
32972,15,56,56,1,16
2060,11,57,60,4,6
1030,10,61,63,3,5
515,9,33,53,21,9
65945,16,54,54,1,7
32973,15,54,55,2,16
263826,18,58,58,1,8
8244,13,59,59,1,7
4122,12,60,60,1,16
2061,11,54,56,3,6
263827,18,57,57,1,8
8245,13,57,58,2,7
4123,12,57,59,3,16
8250,13,62,62,1,16
2062,11,63,63,1,6
1031,10,54,60,7,5
8251,13,61,61,1,16
2063,11,61,62,2,6
4128,12,65,66,2,16
2064,11,67,73,7,6
1032,10,74,82,9,5
516,9,83,100,18,9
258,8,101,129,29,15
129,7,0,63,64,3
8258,13,66,66,1,7
4129,12,64,64,1,16
8259,13,65,65,1,7
8260,13,68,69,2,7
4130,12,70,73,4,16
2065,11,64,66,3,6
66092,16,69,69,1,8
8261,13,67,67,1,7
66093,16,68,68,1,8
16524,14,71,72,2,8
8262,13,73,73,1,7
4131,12,67,69,3,16
66100,16,72,72,1,4
16525,14,70,70,1,8
66101,16,71,71,1,4
8263,13,70,72,3,7
16528,14,75,75,1,7
8264,13,76,77,2,16
2066,11,78,82,5,6
1033,10,64,73,10,5
16529,14,74,74,1,7
16530,14,77,77,1,7
8265,13,74,75,2,16
16531,14,76,76,1,7
8270,13,79,82,4,16
2067,11,74,77,4,6
66170,16,80,82,3,7
8271,13,78,78,1,16
264684,18,81,81,1,4
132342,17,82,82,1,8
66171,16,79,79,1,7
264685,18,80,80,1,4
132343,17,80,81,2,8
16546,14,84,84,1,7
4136,12,85,85,1,16
2068,11,86,88,3,6
1034,10,89,100,12,5
517,9,64,82,19,9
16547,14,83,83,1,7
4137,12,83,84,2,16
8276,13,87,87,1,7
4138,12,88,88,1,16
2069,11,83,85,3,6
8277,13,86,86,1,7
4139,12,86,87,2,16
16560,14,90,91,2,8
8280,13,92,93,2,7
4140,12,94,96,3,16
2070,11,97,100,4,6
1035,10,83,88,6,5
33122,15,91,91,1,4
16561,14,89,89,1,8
33123,15,90,90,1,4
33126,15,93,93,1,8
8281,13,89,91,3,7
33127,15,92,92,1,8
8282,13,95,96,2,7
4141,12,89,93,5,16
33132,15,96,96,1,8
8283,13,94,94,1,7
33133,15,95,95,1,8
8284,13,98,99,2,7
4142,12,100,100,1,16
2071,11,89,96,8,6
33142,15,99,99,1,8
8285,13,97,97,1,7
33143,15,98,98,1,8
4143,12,97,99,3,16
8288,13,102,102,1,7
4144,12,103,104,2,16
2072,11,105,105,1,6
1036,10,106,111,6,5
518,9,112,129,18,9
259,8,64,100,37,15
8289,13,101,101,1,7
16580,14,104,104,1,7
4145,12,101,102,2,16
16581,14,103,103,1,7
2073,11,101,104,4,6
4148,12,107,107,1,16
2074,11,108,111,4,6
1037,10,101,105,5,5
4149,12,106,106,1,16
8300,13,109,109,1,7
4150,12,110,111,2,16
2075,11,106,107,2,6
8301,13,108,108,1,7
8302,13,111,111,1,7
4151,12,108,109,2,16
8303,13,110,110,1,7
16608,14,113,113,1,8
8304,13,114,114,1,7
4152,12,115,115,1,16
2076,11,116,119,4,6
1038,10,120,129,10,5
519,9,101,111,11,9
16609,14,112,112,1,8
8305,13,112,113,2,7
4153,12,112,114,3,16
4154,12,117,119,3,16
2077,11,112,115,4,6
8310,13,118,119,2,7
4155,12,116,116,1,16
16622,14,119,119,1,8
8311,13,117,117,1,7
16623,14,118,118,1,8
8312,13,121,121,1,7
4156,12,122,125,4,16
2078,11,126,129,4,6
1039,10,112,119,8,5
8313,13,120,120,1,7
8314,13,123,125,3,7
4157,12,120,121,2,16
66520,16,124,124,1,4
33260,15,125,125,1,8
8315,13,122,122,1,7
66521,16,123,123,1,4
33261,15,123,124,2,8
66536,16,127,127,1,7
16634,14,128,129,2,16
2079,11,120,125,6,6
66537,16,126,126,1,7
33270,15,129,129,1,7
16635,14,126,127,2,16
33271,15,128,128,1,7
8320,13,131,131,1,7
4160,12,132,132,1,16
2080,11,133,134,2,6
1040,10,135,141,7,5
520,9,142,154,13,9
260,8,155,175,21,15
130,7,176,237,62,3
65,6,0,129,130,2
8321,13,130,130,1,7
4161,12,130,131,2,16
8326,13,134,134,1,16
2081,11,130,132,3,6
8327,13,133,133,1,16
4164,12,136,136,1,16
2082,11,137,141,5,6
1041,10,130,134,5,5
4165,12,135,135,1,16
16664,14,138,138,1,7
4166,12,139,141,3,16
2083,11,135,136,2,6
16665,14,137,137,1,7
33336,15,140,140,1,8
16668,14,141,141,1,7
4167,12,137,138,2,16
33337,15,139,139,1,8
16669,14,139,140,2,7
4168,12,143,144,2,16
2084,11,145,147,3,6
1042,10,148,154,7,5
521,9,130,141,12,9
8338,13,144,144,1,7
4169,12,142,142,1,16
8339,13,143,143,1,7
4170,12,146,147,2,16
2085,11,142,144,3,6
8342,13,147,147,1,7
4171,12,145,145,1,16
8343,13,146,146,1,7
8344,13,149,149,1,7
4172,12,150,150,1,16
2086,11,151,154,4,6
1043,10,142,147,6,5
8345,13,148,148,1,7
4173,12,148,149,2,16
33398,15,152,153,2,7
4174,12,154,154,1,16
2087,11,148,150,3,6
133596,17,153,153,1,8
33399,15,151,151,1,7
133597,17,152,152,1,8
4175,12,151,153,3,16
2088,11,156,156,1,6
1044,10,157,161,5,5
522,9,162,175,14,9
261,8,130,154,25,15
2089,11,155,155,1,6
4180,12,158,158,1,16
2090,11,159,161,3,6
1045,10,155,156,2,5
4181,12,157,157,1,16
4182,12,160,161,2,16
2091,11,157,158,2,6
16734,14,161,161,1,7
4183,12,159,159,1,16
16735,14,160,160,1,7
2092,11,163,166,4,6
1046,10,167,175,9,5
523,9,155,161,7,9
133954,17,164,164,1,8
8372,13,165,165,1,7
4186,12,166,166,1,16
2093,11,162,162,1,6
133955,17,163,163,1,8
8373,13,163,164,2,7
4187,12,163,165,3,16
16752,14,168,169,2,7
8376,13,170,170,1,16
2094,11,171,175,5,6
1047,10,162,166,5,5
134026,17,169,169,1,8
16753,14,167,167,1,7
134027,17,168,168,1,8
8377,13,167,169,3,16
67044,16,172,172,1,8
8380,13,173,173,1,7
4190,12,174,175,2,16
2095,11,167,170,4,6
67045,16,171,171,1,8
8381,13,171,172,2,7
33530,15,175,175,1,7
4191,12,171,173,3,16
33531,15,174,174,1,7
4192,12,177,178,2,16
2096,11,179,184,6,6
1048,10,185,189,5,5
524,9,190,208,19,9
262,8,209,237,29,15
131,7,130,175,46,3
8386,13,178,178,1,7
4193,12,176,176,1,16
8387,13,177,177,1,7
268444,18,180,180,1,7
8388,13,181,184,4,16
2097,11,176,178,3,6
268445,18,179,179,1,7
33556,15,182,182,1,8
16778,14,183,184,2,7
8389,13,179,180,2,16
33557,15,181,181,1,8
33558,15,184,184,1,8
16779,14,181,182,2,7
33559,15,183,183,1,8
4196,12,186,188,3,16
2098,11,189,189,1,6
1049,10,176,184,9,5
33578,15,187,187,1,8
8394,13,188,188,1,7
4197,12,185,185,1,16
33579,15,186,186,1,8
8395,13,186,187,2,7
2099,11,185,188,4,6
33602,15,191,191,1,8
8400,13,192,192,1,7
4200,12,193,193,1,16
2100,11,194,196,3,6
1050,10,197,208,12,5
525,9,176,189,14,9
33603,15,190,190,1,8
8401,13,190,191,2,7
4201,12,190,192,3,16
4202,12,195,196,2,16
2101,11,190,193,4,6
8406,13,196,196,1,7
4203,12,194,194,1,16
8407,13,195,195,1,7
8408,13,198,198,1,7
4204,12,199,202,4,16
2102,11,203,208,6,6
1051,10,190,196,7,5
8409,13,197,197,1,7
16820,14,200,200,1,8
8410,13,201,202,2,7
4205,12,197,198,2,16
16821,14,199,199,1,8
67290,16,202,202,1,8
8411,13,199,200,2,7
67291,16,201,201,1,8
16824,14,204,205,2,8
8412,13,206,207,2,7
4206,12,208,208,1,16
2103,11,197,202,6,6
33650,15,205,205,1,4
16825,14,203,203,1,8
33651,15,204,204,1,4
16826,14,207,207,1,8
8413,13,203,205,3,7
16827,14,206,206,1,8
4207,12,203,207,5,16
8416,13,210,210,1,16
2104,11,211,212,2,6
1052,10,213,218,6,5
526,9,219,237,19,9
263,8,176,208,33,15
8417,13,209,209,1,16
16846,14,212,212,1,16
2105,11,209,210,2,6
16847,14,211,211,1,16
2106,11,214,218,5,6
1053,10,209,212,4,5
16856,14,215,215,1,7
4214,12,216,218,3,16
2107,11,213,213,1,6
16857,14,214,214,1,7
269776,18,217,217,1,8
67444,16,218,218,1,7
4215,12,214,215,2,16
269777,18,216,216,1,8
67445,16,216,217,2,7
8432,13,220,220,1,7
4216,12,221,222,2,16
2108,11,223,225,3,6
1054,10,226,237,12,5
527,9,209,218,10,9
8433,13,219,219,1,7
16868,14,222,222,1,7
4217,12,219,220,2,16
16869,14,221,221,1,7
4218,12,224,225,2,16
2109,11,219,222,4,6
16878,14,225,225,1,7
4219,12,223,223,1,16
16879,14,224,224,1,7
135058,17,227,227,1,8
16882,14,228,229,2,7
4220,12,230,231,2,16
2110,11,232,237,6,6
1055,10,219,225,7,5
135059,17,226,226,1,8
135070,17,229,229,1,8
16883,14,226,227,2,7
135071,17,228,228,1,8
8442,13,231,231,1,7
4221,12,226,229,4,16
8443,13,230,230,1,7
4222,12,233,237,5,16
2111,11,226,231,6,6
8446,13,234,237,4,7
4223,12,232,232,1,16
16894,14,235,237,3,8
8447,13,233,233,1,7
270324,18,236,236,1,10
33790,15,237,237,1,4
16895,14,234,234,1,8
270325,18,235,235,1,10
33791,15,235,236,2,4
8448,13,239,239,1,7
4224,12,240,242,3,16
2112,11,243,245,3,6
1056,10,246,255,10,5
528,9,256,273,18,9
264,8,274,299,26,15
132,7,300,362,63,3
66,6,363,456,94,2
33,5,0,237,238,1
8449,13,238,238,1,7
16900,14,241,241,1,8
8450,13,242,242,1,7
4225,12,238,239,2,16
16901,14,240,240,1,8
8451,13,240,241,2,7
8452,13,244,244,1,7
4226,12,245,245,1,16
2113,11,238,242,5,6
8453,13,243,243,1,7
4227,12,243,244,2,16
16912,14,247,248,2,7
4228,12,249,250,2,16
2114,11,251,255,5,6
1057,10,238,245,8,5
67652,16,248,248,1,8
16913,14,246,246,1,7
67653,16,247,247,1,8
33834,15,250,250,1,7
4229,12,246,248,3,16
33835,15,249,249,1,7
16922,14,252,252,1,7
4230,12,253,255,3,16
2115,11,246,250,5,6
16923,14,251,251,1,7
33848,15,254,255,2,7
4231,12,251,252,2,16
135396,17,255,255,1,8
33849,15,253,253,1,7
135397,17,254,254,1,8
8464,13,257,257,1,7
4232,12,258,259,2,16
2116,11,260,263,4,6
1058,10,264,273,10,5
529,9,238,255,18,9
8465,13,256,256,1,7
8466,13,259,259,1,7
4233,12,256,257,2,16
8467,13,258,258,1,7
135510,17,261,261,1,7
4234,12,262,263,2,16
2117,11,256,259,4,6
135511,17,260,260,1,7
8470,13,263,263,1,7
4235,12,260,261,2,16
8471,13,262,262,1,7
67796,16,265,265,1,8
33898,15,266,266,1,7
8474,13,267,267,1,16
2118,11,268,273,6,6
1059,10,256,263,8,5
67797,16,264,264,1,8
33899,15,264,265,2,7
8475,13,264,266,3,16
8476,13,269,272,4,7
4238,12,273,273,1,16
2119,11,264,267,4,6
135636,17,270,270,1,4
16954,14,271,272,2,8
8477,13,268,268,1,7
135637,17,269,269,1,4
33910,15,272,272,1,4
16955,14,269,270,2,8
33911,15,271,271,1,4
4239,12,268,272,5,16
8480,13,275,275,1,16
2120,11,276,278,3,6
1060,10,279,283,5,5
530,9,284,299,16,9
265,8,238,273,36,15
8481,13,274,274,1,16
8484,13,277,277,1,7
4242,12,278,278,1,16
2121,11,274,275,2,6
8485,13,276,276,1,7
4243,12,276,277,2,16
4244,12,280,280,1,16
2122,11,281,283,3,6
1061,10,274,278,5,5
4245,12,279,279,1,16
4246,12,282,283,2,16
2123,11,279,280,2,6
67964,16,283,283,1,7
4247,12,281,281,1,16
67965,16,282,282,1,7
16992,14,285,285,1,7
4248,12,286,289,4,16
2124,11,290,291,2,6
1062,10,292,299,8,5
531,9,274,283,10,9
16993,14,284,284,1,7
8498,13,287,289,3,7
4249,12,284,285,2,16
33996,15,288,288,1,4
16998,14,289,289,1,8
8499,13,286,286,1,7
33997,15,287,287,1,4
16999,14,287,288,2,8
4250,12,291,291,1,16
2125,11,284,289,6,6
4251,12,290,290,1,16
8506,13,293,293,1,16
2126,11,294,299,6,6
1063,10,284,291,8,5
8507,13,292,292,1,16
68066,16,295,295,1,8
17016,14,296,296,1,7
4254,12,297,299,3,16
2127,11,292,293,2,6
68067,16,294,294,1,8
17017,14,294,295,2,7
8510,13,298,299,2,7
4255,12,294,296,3,16
68090,16,299,299,1,8
8511,13,297,297,1,7
68091,16,298,298,1,8
8512,13,301,302,2,7
4256,12,303,306,4,16
2128,11,307,312,6,6
1064,10,313,318,6,5
532,9,319,332,14,9
266,8,333,362,30,15
133,7,238,299,62,3
17026,14,302,302,1,8
8513,13,300,300,1,7
17027,14,301,301,1,8
8514,13,304,306,3,7
4257,12,300,302,3,16
34060,15,305,305,1,4
17030,14,306,306,1,8
8515,13,303,303,1,7
34061,15,304,304,1,4
17031,14,304,305,2,8
136262,17,308,308,1,4
17032,14,309,310,2,8
8516,13,311,311,1,7
4258,12,312,312,1,16
2129,11,300,306,7,6
136263,17,307,307,1,4
34066,15,310,310,1,4
17033,14,307,308,2,8
34067,15,309,309,1,4
8517,13,307,310,4,7
4259,12,307,311,5,16
34080,15,314,314,1,8
17040,14,315,315,1,7
4260,12,316,316,1,16
2130,11,317,318,2,6
1065,10,300,312,13,5
34081,15,313,313,1,8
17041,14,313,314,2,7
4261,12,313,315,3,16
4262,12,318,318,1,16
2131,11,313,316,4,6
4263,12,317,317,1,16
8528,13,320,320,1,7
4264,12,321,322,2,16
2132,11,323,325,3,6
1066,10,326,332,7,5
533,9,300,318,19,9
8529,13,319,319,1,7
136500,17,322,322,1,7
4265,12,319,320,2,16
136501,17,321,321,1,7
4266,12,324,325,2,16
2133,11,319,322,4,6
8534,13,325,325,1,7
4267,12,323,323,1,16
8535,13,324,324,1,7
2134,11,327,332,6,6
1067,10,319,325,7,5
17080,14,328,328,1,8
8540,13,329,329,1,7
4270,12,330,332,3,16
2135,11,326,326,1,6
17081,14,327,327,1,8
8541,13,327,328,2,7
8542,13,331,332,2,7
4271,12,327,329,3,16
17086,14,332,332,1,8
8543,13,330,330,1,7
17087,14,331,331,1,8
8544,13,334,334,1,7
4272,12,335,338,4,16
2136,11,339,342,4,6
1068,10,343,349,7,5
534,9,350,362,13,9
267,8,300,332,33,15
8545,13,333,333,1,7
8546,13,336,338,3,7
4273,12,333,334,2,16
17094,14,337,338,2,8
8547,13,335,335,1,7
34190,15,338,338,1,4
17095,14,336,336,1,8
34191,15,337,337,1,4
8548,13,340,340,1,7
4274,12,341,342,2,16
2137,11,333,338,6,6
8549,13,339,339,1,7
17100,14,342,342,1,7
4275,12,339,340,2,16
17101,14,341,341,1,7
8552,13,344,345,2,7
4276,12,346,347,2,16
2138,11,348,349,2,6
1069,10,333,342,10,5
68428,16,345,345,1,8
8553,13,343,343,1,7
68429,16,344,344,1,8
17108,14,347,347,1,7
4277,12,343,345,3,16
17109,14,346,346,1,7
4278,12,349,349,1,16
2139,11,343,347,5,6
4279,12,348,348,1,16
4280,12,351,353,3,16
2140,11,354,356,3,6
1070,10,357,362,6,5
535,9,333,349,17,9
17124,14,352,352,1,8
8562,13,353,353,1,7
4281,12,350,350,1,16
17125,14,351,351,1,8
8563,13,351,352,2,7
4282,12,355,356,2,16
2141,11,350,353,4,6
17132,14,356,356,1,7
4283,12,354,354,1,16
17133,14,355,355,1,7
8570,13,358,359,2,16
2142,11,360,362,3,6
1071,10,350,356,7,5
17142,14,359,359,1,7
8571,13,357,357,1,16
17143,14,358,358,1,7
17144,14,361,361,1,7
4286,12,362,362,1,16
2143,11,357,359,3,6
17145,14,360,360,1,7
4287,12,360,361,2,16
4288,12,364,365,2,16
2144,11,366,367,2,6
1072,10,368,374,7,5
536,9,375,386,12,9
268,8,387,412,26,15
134,7,413,456,44,3
67,6,238,362,125,2
17158,14,365,365,1,7
4289,12,363,363,1,16
17159,14,364,364,1,7
34332,15,367,367,1,16
2145,11,363,365,3,6
34333,15,366,366,1,16
4292,12,369,369,1,16
2146,11,370,374,5,6
1073,10,363,367,5,5
4293,12,368,368,1,16
68704,16,371,371,1,7
4294,12,372,374,3,16
2147,11,368,369,2,6
68705,16,370,370,1,7
8590,13,373,374,2,7
4295,12,370,371,2,16
17182,14,374,374,1,8
8591,13,372,372,1,7
17183,14,373,373,1,8
2199806,21,376,376,1,7
4296,12,377,380,4,16
2148,11,381,381,1,6
1074,10,382,386,5,5
537,9,363,374,12,9
2199807,21,375,375,1,7
34378,15,378,378,1,8
8594,13,379,380,2,7
4297,12,375,376,2,16
34379,15,377,377,1,8
17190,14,380,380,1,8
8595,13,377,378,2,7
17191,14,379,379,1,8
2149,11,375,380,6,6
4300,12,383,383,1,16
2150,11,384,386,3,6
1075,10,375,381,7,5
4301,12,382,382,1,16
8606,13,385,386,2,16
2151,11,382,383,2,6
17214,14,386,386,1,7
8607,13,384,384,1,16
17215,14,385,385,1,7
8608,13,388,389,2,7
4304,12,390,391,2,16
2152,11,392,395,4,6
1076,10,396,397,2,5
538,9,398,412,15,9
269,8,363,386,24,15
17218,14,389,389,1,8
8609,13,387,387,1,7
17219,14,388,388,1,8
551040,19,391,391,1,7
4305,12,387,389,3,16
551041,19,390,390,1,7
4306,12,393,395,3,16
2153,11,387,391,5,6
8614,13,394,395,2,7
4307,12,392,392,1,16
17230,14,395,395,1,8
8615,13,393,393,1,7
17231,14,394,394,1,8
2154,11,397,397,1,6
1077,10,387,395,9,5
2155,11,396,396,1,6
276022,18,399,399,1,8
34502,15,400,400,1,7
4312,12,401,401,1,16
2156,11,402,405,4,6
1078,10,406,412,7,5
539,9,387,397,11,9
276023,18,398,398,1,8
34503,15,398,399,2,7
4313,12,398,400,3,16
34514,15,403,403,1,7
4314,12,404,405,2,16
2157,11,398,401,4,6
34515,15,402,402,1,7
8630,13,405,405,1,7
4315,12,402,403,2,16
8631,13,404,404,1,7
8632,13,407,407,1,7
4316,12,408,409,2,16
2158,11,410,412,3,6
1079,10,398,405,8,5
8633,13,406,406,1,7
8634,13,409,409,1,7
4317,12,406,407,2,16
8635,13,408,408,1,7
