node_index,depth,left_rank,right_rank,weight,color
256,8,1,3,3,2
128,7,4,11,8,6
64,6,12,23,12,9
32,5,24,52,29,3
16,4,53,105,53,11
8,3,106,211,106,13
4,2,212,453,242,9
2,1,454,955,502,1
2058,11,2,2,1,4
514,9,3,3,1,1
257,8,0,0,1,2
2059,11,1,1,1,4
515,9,1,2,2,1
4130,12,5,6,2,5
1032,10,7,8,2,4
516,9,9,9,1,1
258,8,10,11,2,2
129,7,0,3,4,6
16526,14,6,6,1,8
4131,12,4,4,1,5
16527,14,5,5,1,8
8270,13,8,8,1,5
1033,10,4,6,3,4
8271,13,7,7,1,5
517,9,4,8,5,1
4150,12,11,11,1,1
259,8,4,9,6,2
4151,12,10,10,1,1
4160,12,13,13,1,5
2080,11,14,14,1,4
520,9,15,16,2,1
260,8,17,18,2,2
130,7,19,23,5,6
65,6,0,11,12,9
4161,12,12,12,1,5
2081,11,12,13,2,4
1042,10,16,16,1,4
521,9,12,14,3,1
1043,10,15,15,1,4
522,9,18,18,1,1
261,8,12,16,5,2
523,9,17,17,1,1
524,9,20,21,2,1
262,8,22,23,2,2
131,7,12,18,7,6
1050,10,21,21,1,4
525,9,19,19,1,1
1051,10,20,20,1,4
526,9,23,23,1,1
263,8,19,21,3,2
527,9,22,22,1,1
33848,15,25,25,1,1
528,9,26,29,4,4
264,8,30,31,2,1
132,7,32,43,12,8
66,6,44,52,9,9
33,5,0,23,24,3
33849,15,24,24,1,1
1058,10,27,29,3,1
529,9,24,25,2,4
2118,11,28,29,2,2
1059,10,26,26,1,1
16952,14,29,29,1,5
2119,11,27,27,1,2
16953,14,28,28,1,5
16974,14,31,31,1,4
265,8,24,29,6,9
16975,14,30,30,1,4
2128,11,33,36,4,1
1064,10,37,37,1,4
266,8,38,43,6,9
133,7,24,31,8,8
8516,13,34,34,1,5
4258,12,35,36,2,2
2129,11,32,32,1,1
8517,13,33,33,1,5
8518,13,36,36,1,5
4259,12,33,34,2,2
8519,13,35,35,1,5
1065,10,32,36,5,4
1068,10,39,40,2,1
534,9,41,43,3,4
267,8,32,37,6,9
4278,12,40,40,1,2
1069,10,38,38,1,1
4279,12,39,39,1,2
1070,10,42,43,2,1
535,9,38,40,3,4
2142,11,43,43,1,2
1071,10,41,41,1,1
2143,11,42,42,1,2
268,8,45,48,4,2
134,7,49,52,4,6
67,6,24,43,20,10
2152,11,46,46,1,4
538,9,47,48,2,1
269,8,44,44,1,2
2153,11,45,45,1,4
4316,12,48,48,1,4
539,9,45,46,2,1
4317,12,47,47,1,4
270,8,50,52,3,2
135,7,44,48,5,6
4344,12,51,51,1,4
1086,10,52,52,1,1
271,8,49,49,1,2
4345,12,50,50,1,4
1087,10,50,51,2,1
544,9,54,56,3,1
272,8,57,63,7,2
136,7,64,70,7,6
68,6,71,80,10,9
34,5,81,105,25,3
17,4,0,52,53,11
69766,16,55,55,1,5
1090,10,56,56,1,4
545,9,53,53,1,1
69767,16,54,54,1,5
1091,10,54,55,2,4
8744,13,58,58,1,4
546,9,59,63,5,1
273,8,53,56,4,2
8745,13,57,57,1,4
17514,14,60,60,1,5
1094,10,61,63,3,4
547,9,57,58,2,1
17515,14,59,59,1,5
2190,11,62,63,2,5
1095,10,59,60,2,4
17528,14,63,63,1,8
2191,11,61,61,1,5
17529,14,62,62,1,8
548,9,65,65,1,1
274,8,66,70,5,2
137,7,53,63,11,6
549,9,64,64,1,1
1100,10,67,67,1,4
550,9,68,70,3,1
275,8,64,65,2,2
1101,10,66,66,1,4
2204,11,69,69,1,5
1102,10,70,70,1,4
551,9,66,67,2,1
2205,11,68,68,1,5
1103,10,68,69,2,4
35398,15,72,72,1,5
4424,12,73,73,1,4
1106,10,74,74,1,1
276,8,75,76,2,2
138,7,77,80,4,6
69,6,53,70,18,9
35399,15,71,71,1,5
4425,12,71,72,2,4
1107,10,71,73,3,1
554,9,76,76,1,1
277,8,71,74,4,2
555,9,75,75,1,1
2230,11,78,78,1,1
278,8,79,80,2,2
139,7,71,76,6,6
2231,11,77,77,1,1
558,9,80,80,1,1
279,8,77,78,2,2
559,9,79,79,1,1
560,9,82,82,1,1
280,8,83,85,3,2
140,7,86,92,7,6
70,6,93,105,13,9
35,5,53,80,28,3
561,9,81,81,1,1
562,9,84,85,2,1
281,8,81,82,2,2
2252,11,85,85,1,4
563,9,83,83,1,1
2253,11,84,84,1,4
1128,10,87,87,1,4
564,9,88,88,1,1
282,8,89,92,4,2
141,7,81,85,5,6
1129,10,86,86,1,4
565,9,86,87,2,1
566,9,90,92,3,1
283,8,86,88,3,2
2268,11,91,91,1,5
1134,10,92,92,1,4
567,9,89,89,1,1
2269,11,90,90,1,5
1135,10,90,91,2,4
284,8,94,98,5,2
142,7,99,105,7,6
71,6,81,92,12,9
36514,15,95,95,1,4
570,9,96,98,3,1
285,8,93,93,1,2
36515,15,94,94,1,4
36552,15,97,97,1,5
1142,10,98,98,1,4
571,9,94,95,2,1
36553,15,96,96,1,5
1143,10,96,97,2,4
18320,14,100,100,1,1
286,8,101,105,5,2
143,7,93,98,6,6
18321,14,99,99,1,1
574,9,102,105,4,1
287,8,99,100,2,2
1150,10,103,105,3,4
575,9,101,101,1,1
2302,11,104,105,2,5
1151,10,102,102,1,4
73700,16,105,105,1,8
2303,11,103,103,1,5
73701,16,104,104,1,8
2306,11,107,107,1,4
576,9,108,108,1,1
288,8,109,109,1,2
144,7,110,115,6,6
72,6,116,130,15,9
36,5,131,158,28,3
18,4,159,211,53,11
9,3,0,105,106,13
2307,11,106,106,1,4
577,9,106,107,2,1
289,8,106,108,3,2
2320,11,111,111,1,5
1160,10,112,112,1,4
580,9,113,114,2,1
290,8,115,115,1,2
145,7,106,109,4,6
2321,11,110,110,1,5
1161,10,110,111,2,4
1162,10,114,114,1,4
581,9,110,112,3,1
1163,10,113,113,1,4
291,8,110,114,5,2
292,8,117,122,6,2
146,7,123,130,8,6
73,6,106,115,10,9
1172,10,118,118,1,4
586,9,119,122,4,1
293,8,116,116,1,2
1173,10,117,117,1,4
4698,12,120,120,1,5
1174,10,121,122,2,4
587,9,117,118,2,1
4699,12,119,119,1,5
2350,11,122,122,1,5
1175,10,119,120,2,4
2351,11,121,121,1,5
4706,12,124,124,1,4
1176,10,125,125,1,1
294,8,126,130,5,2
147,7,116,122,7,6
4707,12,123,123,1,4
1177,10,123,124,2,1
590,9,127,130,4,1
295,8,123,125,3,2
75654,16,128,128,1,8
9456,13,129,129,1,5
2364,11,130,130,1,4
591,9,126,126,1,1
75655,16,127,127,1,8
9457,13,127,128,2,5
2365,11,127,129,3,4
2368,11,132,132,1,4
592,9,133,135,3,1
296,8,136,139,4,2
148,7,140,141,2,6
74,6,142,158,17,9
37,5,106,130,25,3
2369,11,131,131,1,4
1186,10,134,135,2,4
593,9,131,132,2,1
4750,12,135,135,1,5
1187,10,133,133,1,4
4751,12,134,134,1,5
2376,11,137,139,3,1
297,8,131,135,5,2
19016,14,138,138,1,5
4754,12,139,139,1,4
2377,11,136,136,1,1
19017,14,137,137,1,5
4755,12,137,138,2,4
2392,11,141,141,1,2
149,7,131,139,9,6
2393,11,140,140,1,2
1200,10,143,143,1,4
600,9,144,145,2,1
300,8,146,149,4,2
150,7,150,158,9,6
75,6,131,141,11,9
1201,10,142,142,1,4
1202,10,145,145,1,4
601,9,142,143,2,1
1203,10,144,144,1,4
1204,10,147,147,1,4
602,9,148,149,2,1
301,8,142,145,4,2
1205,10,146,146,1,4
2412,11,149,149,1,4
603,9,146,147,2,1
2413,11,148,148,1,4
