method,repeat,sample_index,ct_index,end_to_end_ms,record_hash_and_routing_ms,query_generation_ms,serialize_transport_answer_ms,decode_ms,assembly_rootcheck_ms,upload_wire_bytes,download_wire_bytes,valid_root,corruption_rejected,recovered_siblings,logical_queries
activebalance,0,0,97,12.332304,0.018415,10.995492,0.6607,0.643688,0.012226,10000,10832,True,True,"[{'level': 118, 'digest_hex': 'b987ee3287a0a5eeacce254ed6cc7640bb21b6c0c9815d96fd869c2f4fd4d8da'}, {'level': 120, 'digest_hex': '07a374e04274ae70b9f53b44c11f068771176afe49a20d2d5dd682e93880b8d2'}, {'level': 121, 'digest_hex': '263c765bda17038551f7d9040f66ad1a1f261dcababb9b92a85cfa46e494db02'}, {'level': 122, 'digest_hex': '1af4f9a8709496df4b6cfa9be973f85c50fde45cb109913e56aae04424b620bb'}, {'level': 123, 'digest_hex': 'eb1c11e6f02a78511163919053383a35b34b5172a60ef829729d970c2125ec0c'}, {'level': 124, 'digest_hex': 'e11955940a41607baf5a59f89fd6bc8080e17649e298c133d9aac99a20126bef'}, {'level': 125, 'digest_hex': '4cb37f60530ff2f9a94ee1075351ac9a725323e6a2014bda2d126be7d3ca65e0'}, {'level': 126, 'digest_hex': 'f018bce1c75dbf694db7dd27dfc6faae13b8952bbc7f1474a863487738696a4c'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,1,384,9.724614,0.011592,8.499849,0.555792,0.644534,0.011674,10000,10832,True,True,"[{'level': 118, 'digest_hex': 'b17fc45725b742766dc45f716bb6b1e112849046508dd19ab3356f62fd62f558'}, {'level': 119, 'digest_hex': '6a61dacbda9f880710b3736ea45abf298e55b3ed0e9d8d90a574c913ac7b0c7d'}, {'level': 120, 'digest_hex': '36687a59782867760e6dcb193b155094fc839ee7e4149a9305cf01c8eba59875'}, {'level': 121, 'digest_hex': '42560f3e5db96d7e0a85f12693f0576ccf18c507b59f134206150a836f167b7e'}, {'level': 122, 'digest_hex': '08c5e50bcd43041d42566c96f9848d94a63335b8348a3e80a7104ad2a407016f'}, {'level': 123, 'digest_hex': 'ceb9ea6cbee5ff32b823e29436f0404bfe5ce1efabc66bf84408675f0b5c6066'}, {'level': 124, 'digest_hex': 'c8ce229f49326e06763bbd2ce799c0115162808d721d483bd1ca14760972c0a8'}, {'level': 125, 'digest_hex': '554944124c280a5e0937efba4bf2115340ec2dc0b87b6de022065b0e5f9b20c5'}, {'level': 126, 'digest_hex': '35e2dda1a2677dba5da516466d1a50d02a455a9289f2df1ec9c1e95ba1e7ad96'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,2,467,7.903154,0.01321,6.92788,0.302428,0.646784,0.011532,10000,10832,True,True,"[{'level': 116, 'digest_hex': 'c513999141148b57644d43ddb2701ca64fb11bf2916d195324ca6249ad2c91ea'}, {'level': 121, 'digest_hex': '199e0a679375d34f6d48042bfd8b45bd9a3a71fb0c28531c8f2f7d1cc4e21884'}, {'level': 122, 'digest_hex': '02a7e06a1c6c05088fa543664c1c4c4a19e6fbafe11af77f3bcbb6a71c1f3ec7'}, {'level': 123, 'digest_hex': '9da1ea9e327729baad723d2fa8637a3a50418f6e37a167dcb3437c815b9ee2ec'}, {'level': 124, 'digest_hex': 'a9fcf9cfb5c95663e19395f60af02f47ee5aebcafff367fab21debad547677fb'}, {'level': 125, 'digest_hex': '29b54295362e29301d8f133a39bc7261fa5e7c58a70853fefbc70df871218774'}, {'level': 126, 'digest_hex': 'f8aed5f51b0d7e2c672656f155f94ee8dfb0e931b76eec22a3dde98cdb700187'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,3,10,8.17185,0.013346,7.267383,0.260555,0.618443,0.011391,10000,10832,True,True,"[{'level': 119, 'digest_hex': '4cc7121cf40ad166ee8b7714fc20a8833182a21407fd73830e10f68cc5a5a80b'}, {'level': 120, 'digest_hex': 'c7c2faab67d90646066736671d469a5e351ceb54a796e18e4af2f14213b9f73e'}, {'level': 121, 'digest_hex': '392729867e1bfe87be087ca938efc8012b3dc2643c712c233520ec8779dab5ee'}, {'level': 122, 'digest_hex': 'f5f2326ecbfbd0eb0c4de4b0fe786039766573ec134dc088a4cd9b453748822a'}, {'level': 123, 'digest_hex': 'b0b98862422c0df1f5f155e131cbb70012f9bc31c16ac88b15430db037cd55d5'}, {'level': 124, 'digest_hex': 'c0cd867822c043b7f63c457c5d17ebf4a55604c88f244db1a6c1b4c5f67b529a'}, {'level': 125, 'digest_hex': '1f7833108f5253ddbe8504072cbcec15e7b9d14340b2b4bd473c19c1883dad19'}, {'level': 126, 'digest_hex': 'f018bce1c75dbf694db7dd27dfc6faae13b8952bbc7f1474a863487738696a4c'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,4,104,11.900459,0.012802,9.957525,0.919812,0.993334,0.015825,10000,10832,True,True,"[{'level': 114, 'digest_hex': '4590521d6ba8fd84ada28155ebaaf280a03d6447f2b77099379b0927434d4250'}, {'level': 119, 'digest_hex': '18dc7726212866442e0c6bd120ff9983ce83c74c00b531109fb6ec8deada8f51'}, {'level': 121, 'digest_hex': 'dc87586bc451beb983b695168e53a5fe593a781c3d6849c79de96de6a9148c23'}, {'level': 122, 'digest_hex': 'eaee8d651189d33f3213186a220ac337275c88cbe418987956029cf9770d6d58'}, {'level': 123, 'digest_hex': '09ec564fa4f27a22f017e0edc3e65ae9d07295b0892676f4cdf7e4fd3c350f4b'}, {'level': 124, 'digest_hex': 'e11955940a41607baf5a59f89fd6bc8080e17649e298c133d9aac99a20126bef'}, {'level': 125, 'digest_hex': '4cb37f60530ff2f9a94ee1075351ac9a725323e6a2014bda2d126be7d3ca65e0'}, {'level': 126, 'digest_hex': 'f018bce1c75dbf694db7dd27dfc6faae13b8952bbc7f1474a863487738696a4c'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,5,332,8.645653,0.016576,7.66736,0.331329,0.617852,0.011067,10000,10832,True,True,"[{'level': 115, 'digest_hex': '2429bf7e98dc47e7ef7459786b0707845b24bea1a6e7bd55f939940328f10be0'}, {'level': 117, 'digest_hex': 'fe37a5fdda6d08a4a9da973e5b682adac50a8f0faff04d3978d0196ef3b5660c'}, {'level': 120, 'digest_hex': 'f008648c0a537ddf599e8d0326bd87ed16e15d192be42e132074df11c0578784'}, {'level': 121, 'digest_hex': '6eadffe287c24529dcd031ef4b74bec2886ae9b2f25188024dea002168b25cd3'}, {'level': 122, 'digest_hex': '762bbf93375fa73e8a81ab43bc3ee30d988bbf48ca3cf08a406893febfd9ac14'}, {'level': 123, 'digest_hex': 'a40584a12f1377ad4892e01c64d8d9bad23337021003f0d47c7b989819d3e07f'}, {'level': 124, 'digest_hex': 'eaf61524d1f986b700746029c61d214e73ada671af3c20ef277aff71dbe3537b'}, {'level': 125, 'digest_hex': '1f7833108f5253ddbe8504072cbcec15e7b9d14340b2b4bd473c19c1883dad19'}, {'level': 126, 'digest_hex': 'f018bce1c75dbf694db7dd27dfc6faae13b8952bbc7f1474a863487738696a4c'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,6,39,9.051612,0.012314,7.909698,0.427422,0.687333,0.014074,10000,10832,True,True,"[{'level': 119, 'digest_hex': 'e5a27666f0b24515ed5c9b3d08487a7a1a0c7457afa432b4bd490d9b8711a474'}, {'level': 120, 'digest_hex': '1d0a651b7cdb7eae8ec1557e1bf959dcf5e46285f3fd7304debe705e47807ceb'}, {'level': 121, 'digest_hex': 'f9642be2027e5daf1d9bc620505de6fe149fe18f1c1df558a68ff1eeaca84277'}, {'level': 122, 'digest_hex': '58f78210b1899d45204ecc7d92ae4f4dcca38024381c3a2a31412e4bde180912'}, {'level': 123, 'digest_hex': '8f5a93a6b87a32b8e12945e613ff886ea27e8535982cecd11941ef467ec414c4'}, {'level': 124, 'digest_hex': '36d32a34b01ea9580c701559fb8ac88bba8a2c82d43a84608e1ca2d91ea72216'}, {'level': 125, 'digest_hex': '055020f61f398fbf2d121b08bbf652475507d1bdb3be20b8cc8198d4644331fc'}, {'level': 126, 'digest_hex': 'cea7b244eb5e5135d8edb4657ff89bed666ca228019f2679005cdf2381f837eb'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,7,169,11.95832,0.012108,10.368709,0.881294,0.682956,0.011899,10000,10832,True,True,"[{'level': 118, 'digest_hex': '4467d5c2980bdaae70b03d4c7ce8ed1cae1d694ffdde44430b4ca6c450d5e510'}, {'level': 119, 'digest_hex': '02cf90a71ed73400e9e656ec2530b5ea980647a82d5bf2e32c31dc28e09ea28b'}, {'level': 120, 'digest_hex': '605785ff85e1c819cd351921b719b9e5ec76f87cac402966f3cc21ed290f02b0'}, {'level': 121, 'digest_hex': 'a1dd086a4fd486bbce8a0b986b0f4ef3d17736405254e68aec7c23f969ada44d'}, {'level': 122, 'digest_hex': '2f43cdfc608143c522269b43eb01808778438b46d39eb2dd44dd54eeaab1fb2a'}, {'level': 123, 'digest_hex': 'abfc74a373420455bb426936183eaa06e6dc5793592c1328c251aa7e95dce20f'}, {'level': 124, 'digest_hex': '2b3e4e4888f70b7063cb6f676c0edd147eb862201bff0f844b47fdffefddc91f'}, {'level': 125, 'digest_hex': '29b54295362e29301d8f133a39bc7261fa5e7c58a70853fefbc70df871218774'}, {'level': 126, 'digest_hex': 'f8aed5f51b0d7e2c672656f155f94ee8dfb0e931b76eec22a3dde98cdb700187'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,8,456,9.70955,0.015022,8.504408,0.39802,0.772644,0.017161,10000,10832,True,True,"[{'level': 120, 'digest_hex': 'eac020299fe5c9b64df0632782cf194f12a357aa4829b2eda021688eb506b398'}, {'level': 121, 'digest_hex': '2072910486e27b3e3bc2ee3f5732a47ea3d28c9071c7945f0fa433aa1aa15818'}, {'level': 122, 'digest_hex': 'd6c6fc8c32f1cb98b7dd53bb46968ecbd21dbbbf26bcdfa15b204792d4abf8e3'}, {'level': 123, 'digest_hex': 'b9d64f309a42c77890d1eb8bc14d6c8fffb17d0477da1ce06a6d6ec2ee0559a5'}, {'level': 124, 'digest_hex': '490c1540bff5d98a1d7ba2f50745b9edea69e517e1aba4ff73b043d6df7c52a8'}, {'level': 125, 'digest_hex': '9634a15ce604cf0e60008cffe0ecef82724be038d589cb28eb123db460060698'}, {'level': 126, 'digest_hex': 'f8aed5f51b0d7e2c672656f155f94ee8dfb0e931b76eec22a3dde98cdb700187'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,9,302,9.629776,0.014659,8.705098,0.280002,0.617789,0.011192,10000,10832,True,True,"[{'level': 117, 'digest_hex': 'f12fd178fa1eea1f9ff1da717dec092c8653783156872e9797de1964f048ea3c'}, {'level': 118, 'digest_hex': '27a858a6df50b96f09b3617fac606bf17417823d835f9847e59238f8d15ba33c'}, {'level': 120, 'digest_hex': 'd6e1b12060db4b2d7aa9e2382e0cfa54243d6cc9983d156b2ba2f0510c833d7b'}, {'level': 121, 'digest_hex': 'ae5e5561f16a3c5d66ff485d19354c5695dc8fee6712a46c04aaed9766b59e9c'}, {'level': 122, 'digest_hex': '36c38a828c2dc75640d644db9c163c51308ca485e7b47c93d9e6112c36df9a5a'}, {'level': 123, 'digest_hex': '09ec564fa4f27a22f017e0edc3e65ae9d07295b0892676f4cdf7e4fd3c350f4b'}, {'level': 124, 'digest_hex': 'e11955940a41607baf5a59f89fd6bc8080e17649e298c133d9aac99a20126bef'}, {'level': 125, 'digest_hex': '4cb37f60530ff2f9a94ee1075351ac9a725323e6a2014bda2d126be7d3ca65e0'}, {'level': 126, 'digest_hex': 'f018bce1c75dbf694db7dd27dfc6faae13b8952bbc7f1474a863487738696a4c'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
