method,repeat,proofs_verified,mean_e2e_ms,bootstrap_ms,bootstrap_total_wire_bytes,mean_online_wire_bytes,client_peak_rss_bytes,server_peak_rss_bytes,server_setup_ms,mean_query_ms,mean_server_answer_ms,mean_decode_ms,mean_route_ms,mean_verify_ms,pair_process_wall_seconds,logical_queries,client_pid,server_pid
activebalance,0,100,9.24178104,36.874901,15392350,20832,53346304,87425024,196.558713,8.07638024,0.0284128,0.66124596,0.01310269,0.01262688,1.345894186999999,13,388,384
first_fit,0,100,8.83271876,38.914379,12279233,17568,44834816,53714944,201.872723,7.77638655,0.04223612,0.51362209,0.01258013,0.01322115,1.256053098999999,13,398,394
nonempty_depth,0,100,11.4239029,27.385717,14383745,21344,50855936,60268544,233.604394,10.2405399,0.04745528,0.6008344,0.016178,0.01373121,1.5754841830000004,17,409,404
full_cache,0,100,0.02714256,1.076417,65566,0,6553600,4587520,0.002091,0,0,0.00053454,0.00490431,0.01878424,0.08883348099999466,0,417,413
activebalance,1,100,10.497066,41.04381,15392350,20832,54001664,87412736,230.023195,9.24631158,0.03465736,0.68393817,0.016746940000000002,0.01449823,1.483496389999999,13,426,422
nonempty_depth,1,100,11.3306732,48.370497,14383745,21344,50724864,61652992,225.569305,10.13698907,0.05154324,0.59920165,0.01540389,0.01381884,1.6123321109999864,17,440,435
first_fit,1,100,9.46771762,31.012727,12279233,17568,44982272,53313536,200.479684,8.41974049,0.03947667,0.52516876,0.01376425,0.01382251,1.3216500899999915,13,450,445
full_cache,1,100,0.01542702,0.890515,65566,0,6422528,4587520,0.001419,0,0,0.0003431,0.00267146,0.0103961,0.09340433399999881,0,459,455
activebalance,2,100,11.25395848,45.571769,15392350,20832,53477376,83755008,223.773193,9.9919883,0.03826533,0.69512917,0.01692966,0.01587946,1.5711630939999992,13,469,464
full_cache,2,100,0.02874808,1.438692,65566,0,6553600,4587520,0.00146,0,0,0.0008097,0.00472113,0.02032431,0.09110028099999568,0,478,474
nonempty_depth,2,100,11.51630938,42.604289,14383745,21344,50855936,61997056,239.319283,10.32435637,0.04700354,0.6236006,0.01568221,0.01357775,1.6196421080000079,17,488,483
first_fit,2,100,9.02731566,32.312503,12279233,17568,45047808,55750656,200.927642,8.00202534,0.03544424,0.52849978,0.01334618,0.01322172,1.2721597550000041,13,497,492
activebalance,3,100,11.33541549,41.199675,15392350,20832,54001664,82763776,198.419145,9.9923271,0.03606901,0.71775789,0.01641652,0.01758769,1.5154672489999967,13,507,502
nonempty_depth,3,100,11.6212586,33.406885,14383745,21344,49676288,61734912,239.854592,10.44867659,0.04680934,0.60085697,0.01553479,0.01384982,1.5955355589999982,17,516,512
first_fit,3,100,9.1761853,26.207721,12279233,17568,44818432,53436416,195.155329,8.17716667,0.03762316,0.52119108,0.01250985,0.01455437,1.2938689920000002,13,527,522
full_cache,3,100,0.02522781,1.016747,65566,0,6553600,4587520,0.001857,0,0,0.00047818,0.0042795,0.01768674,0.09436472100000515,0,536,532
first_fit,4,100,8.90010335,28.311101,12279233,17568,43384832,54317056,183.792444,7.86440765,0.03713813,0.52990193,0.01220736,0.01447513,1.2626423880000033,13,546,541
nonempty_depth,4,100,10.75814349,30.659414,14383745,21344,49676288,62226432,223.642651,9.61670707,0.04441594,0.59026123,0.01641717,0.01296122,1.5074411850000047,17,556,551
activebalance,4,100,11.34700945,41.338039,15392350,20832,53346304,85983232,209.45648,10.03954718,0.03963237,0.70725553,0.01517708,0.01586795,1.5935545439999999,13,565,561
full_cache,4,100,0.0306292,1.165242,65566,0,6553600,4456448,0.001598,0,0,0.00062916,0.00660262,0.0195245,0.0953690019999982,0,574,570
