dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
Fuel vectors,128,first_fit,3,0,0xc8d26116ed30f9816a05fdf061b25351,5.238072000000002,0.023253999999999993,0.20270300000000005,5.48403,0.02037299999813058,0.07113099999855876,5.575533999996689,5152,True
Fuel vectors,128,first_fit,3,1,0x4082763076bdaee3a85e52eb5893169d,4.467681000000002,0.015694,0.227104,4.726683,0.00619900000131679,0.04608000000061452,4.778962000001932,5152,True
Fuel vectors,128,first_fit,3,2,0x8e00d1c0c8ffe94540e534e256d4589b,5.572096,0.04946099999999999,0.21606399999999995,5.853819,0.003955000000388509,0.043471000001460425,5.901245000001849,5152,True
Fuel vectors,128,first_fit,3,3,0xe084a105a7b7d599b8346d3cba5ac51b,5.039010000000001,0.020324000000000005,0.19760900000000006,5.272416,0.003933999998650961,0.043363000003182606,5.319713000001833,5152,True
Fuel vectors,128,first_fit,3,4,0x46cecbeaa7de6866910a4856ef1f7378,4.5521910000000005,0.018140999999999987,0.19968400000000003,4.788883,0.003933999998650961,0.04199700000029338,4.834813999998945,5152,True
Fuel vectors,128,first_fit,3,5,0xb40711a88c7039756fb8a73827eabe2c,5.139453999999999,0.019403,0.2884469999999999,5.462689,0.0030769999987967367,0.04267300000293517,5.508439000001732,5152,True
Fuel vectors,128,first_fit,3,6,0x79a881f99a636d0ad75f16f53668982b,4.5914290000000015,0.017127999999999997,0.202026,4.827044,0.003126000002851015,0.04292900000280042,4.873099000005651,5152,True
Fuel vectors,128,first_fit,3,7,0xe9f3440e5518839aa600db07b5400f8e,5.479076999999998,0.01983600000000001,0.19230099999999992,5.708454,0.002928999997209303,0.044417000001573115,5.755799999998782,5152,True
Fuel vectors,128,first_fit,3,8,0x3b28a6c3766c6295adad976d349705ef,5.543374999999999,0.027252,0.20968900000000004,5.800185,0.0035629999999287065,0.04553000000129259,5.849278000001221,5152,True
Fuel vectors,128,first_fit,3,9,0xd596e806d34bd7d4304b9f00ec340f02,5.492774000000001,0.019361,0.25721399999999983,5.786708,0.0028759999999294905,0.04525599999993801,5.8348399999998675,5152,True
Fuel vectors,128,first_fit,3,10,0xdbf8f061b38993c8d7dc1f521c3df09f,5.630923000000001,0.02343399999999999,0.205454,5.879542,0.0025699999994799327,0.04521400000001563,5.927325999999495,5152,True
Fuel vectors,128,first_fit,3,11,0xad286c64373644140ff927b256b84154,4.779185000000001,0.021615000000000002,0.22693999999999995,5.046292,0.0024979999970753397,0.0454229999995448,5.09421299999662,5152,True
Fuel vectors,128,first_fit,3,12,0x552d7d672c5bbbccfb210a425e36a1d6,5.387249000000001,0.020616000000000006,0.195645,5.619963,0.0028420000006690316,0.04876599999903419,5.6715709999997035,5152,True
Fuel vectors,128,first_fit,3,13,0xb253668f6b59f1ff28522831931e4d3c,4.448141000000002,0.016758999999999996,0.19724900000000004,4.676672,0.002497000000545313,0.04675799999986907,4.725927000000414,5152,True
Fuel vectors,128,first_fit,3,14,0x282a163f3e6f52ab35cf838079369bce,5.7747389999999985,0.024338,0.22376399999999994,6.042081,0.002807999997855859,0.04692999999988956,6.091818999997745,5152,True
Fuel vectors,128,first_fit,3,15,0xae3c8b8d99a39542f78af83dbbb42c81,4.737335000000002,0.020962999999999992,0.21763900000000008,4.99298,0.002759000000907008,0.04618600000227957,5.041925000003187,5152,True
Fuel vectors,128,first_fit,3,16,0xb9098fe78517adc23218f8cd7d804f55,4.9893139999999985,0.020940999999999998,0.19276,5.21981,0.003311000000394415,0.047546999997649664,5.270667999998044,5152,True
Fuel vectors,128,first_fit,3,17,0x825ac1bb838d399fb1ba55a6247e2c8c,5.762859,0.047868000000000015,0.19883199999999998,6.028015,0.002817000002153236,0.04586400000050617,6.076696000002659,5152,True
Fuel vectors,128,first_fit,3,18,0x2c19fc328bfccab923ee092d9123a9cc,4.323818,0.021343000000000004,0.19601499999999994,4.559242,0.0027650000014034504,0.04563599999940493,4.607643000000809,5152,True
Fuel vectors,128,first_fit,3,19,0xdfe4224c822504739c7efea90fd28bf7,5.227432,0.021878,0.20103499999999996,5.466794,0.002554999998238827,0.04533099999903811,5.514679999997277,5152,True
Fuel vectors,128,first_fit,3,20,0xca3076acbb6ec2b695ebf174caa57ef3,4.4278010000000005,0.018563,0.20865899999999996,4.671536,0.0025440000008813968,0.04555499999980839,4.7196350000006895,5152,True
Fuel vectors,128,first_fit,3,21,0x43b728ce5e336e2e48a38a61805a73c0,5.647371000000002,0.021439999999999997,0.20087299999999997,5.88809,0.002778000002479075,0.04537300000251321,5.936241000004992,5152,True
Fuel vectors,128,first_fit,3,22,0xb310919be4d5c7892739294545b85928,5.194579000000002,0.020191999999999998,0.213563,5.445543,0.002403999999955886,0.045123999999674425,5.49307099999963,5152,True
Fuel vectors,128,first_fit,3,23,0x3523d19074cac2abcc3ace63b121eefa,4.8271890000000015,0.020310999999999992,0.19949999999999996,5.065476,0.0027799999990918423,0.04527899999828833,5.1135349999973805,5152,True
Fuel vectors,128,first_fit,3,24,0x433ebf5bc03dffa38536673207a21281,4.788932000000001,0.019428,0.6167860000000001,5.439852,0.003986999999483487,0.04516500000306678,5.48900400000255,5152,True
Fuel vectors,128,first_fit,3,25,0x920218ce21e9b273c4110f07c5803f74,4.635853000000001,0.019404999999999995,0.18976500000000002,4.859383,0.0025389999969149812,0.04938400000042975,4.911305999997345,5152,True
Fuel vectors,128,first_fit,3,26,0x15b165510f75144be8633336a97ac62c,4.957728999999999,0.022982000000000002,0.21717100000000003,5.218747,0.0028500000013309545,0.04918299999800979,5.27077999999934,5152,True
Fuel vectors,128,first_fit,3,27,0x14236fe421fe9ddb8377a19b60ce71dd,5.193082000000001,0.022666000000000002,0.20125099999999999,5.435256,0.0027279999983420566,0.04934899999753384,5.487332999995876,5152,True
Fuel vectors,128,first_fit,3,28,0x688e94a51ee508a95e761294afb7a600,5.225020000000001,0.022597,0.199768,5.464374,0.0029579999996087736,0.04911099999915791,5.516442999998767,5152,True
Fuel vectors,128,first_fit,3,29,0x702a137706cb2ef04842c238c2b37fed,4.1642470000000005,0.019017999999999997,0.190795,4.389787,0.002539000000467695,0.04955900000069846,4.441885000001166,5152,True
Fuel vectors,128,first_fit,3,30,0xfe5b0deca006174e2151088e1a7d60fe,5.542429000000004,0.019766,0.20448899999999998,5.782251,0.0029389999980367065,0.07804900000252246,5.863239000000559,5152,True
Fuel vectors,128,first_fit,3,31,0x8ef3b0d7c4476e2c0a91ccc5867740a0,5.345751,0.021076000000000015,0.195187,5.579639,0.0026939999990815977,0.0513400000023978,5.63367300000148,5152,True
Fuel vectors,128,first_fit,3,32,0xd2febf3079d64fcc48205885b66974fb,5.094773,0.04959000000000001,0.21080699999999997,5.374599,0.004498999999213993,0.049502999999617714,5.428600999998832,5152,True
Fuel vectors,128,first_fit,3,33,0xb16a7efa6c4b528ecbe9db04df4d2bb4,5.108302000000001,0.017924000000000002,0.200717,5.342574,0.0025929999978302476,0.05198799999917014,5.397154999997,5152,True
Fuel vectors,128,first_fit,3,34,0xa7911cdfdc28e6a1867e359ba426081a,4.628572000000001,0.01881,0.19064599999999998,4.855111,0.0030330000022615877,0.049154999999245774,4.907299000001507,5152,True
Fuel vectors,128,first_fit,3,35,0x97efc1907815f13e6a02d4149a09e9a5,5.234905,0.046799999999999994,0.1934,5.490779,0.002706000000074482,0.04892900000186273,5.542414000001937,5152,True
