dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
Fuel vectors,128,nonempty_depth,0,0,0x51be0458d20b1ce2ff5316e7e473109c,6.121799000000003,0.042565000000000006,0.23997999999999994,6.423823,0.02422200000040675,0.07630399999936088,6.524348999999767,6016,True
Fuel vectors,128,nonempty_depth,0,1,0x79a881f99a636d0ad75f16f53668982b,6.620638000000002,0.027654999999999992,0.2419640000000001,6.912218,0.0055420000002470715,0.05040100000019976,6.968161000000447,6016,True
Fuel vectors,128,nonempty_depth,0,2,0xc1a9fae908008d34f389b1dba2a1a8e8,5.156556000000004,0.024702999999999992,0.2397069999999999,5.441283,0.005129000000714257,0.04546199999921896,5.4918739999999335,6016,True
Fuel vectors,128,nonempty_depth,0,3,0x3b28a6c3766c6295adad976d349705ef,7.144620999999997,0.02639800000000002,0.251283,7.445307,0.004222999999470289,0.04508999999952579,7.494619999998996,6016,True
Fuel vectors,128,nonempty_depth,0,4,0x17eb70034b5b71092521d184c5e7b069,7.0794929999999985,0.029030000000000004,0.23961000000000007,7.370838,0.0039039999997214636,0.04511199999956972,7.419853999999291,6016,True
Fuel vectors,128,nonempty_depth,0,5,0xf8de494d620f85b1cfed002bb1ea4fbf,8.350833,0.03495799999999999,0.2640590000000001,8.679831,0.003817999999711219,0.04514100000019283,8.728789999999904,6016,True
Fuel vectors,128,nonempty_depth,0,6,0x3a88c8867b3fbcfeefc3270af46afbe,8.963344,0.03759800000000001,0.262956,9.290875,0.003256000000284587,0.04426299999948924,9.338393999999774,6016,True
Fuel vectors,128,nonempty_depth,0,7,0xeb23c65a4244616063b70d7502b960e5,5.663368,0.026101,0.22270099999999998,5.933712,0.002988000000314628,0.04694800000049071,5.983648000000805,6016,True
Fuel vectors,128,nonempty_depth,0,8,0x221f8af2372a95064f2ef7d7712216a9,6.241723999999999,0.023684999999999998,0.239759,6.525337,0.004635000000696721,0.04976899999942219,6.579741000000119,6016,True
Fuel vectors,128,nonempty_depth,0,9,0x15b165510f75144be8633336a97ac62c,6.874147,0.025896000000000002,0.24048800000000004,7.159598,0.0031310000006001815,0.047726999999220254,7.21045599999982,6016,True
Fuel vectors,128,nonempty_depth,0,10,0xad286c64373644140ff927b256b84154,6.097678999999998,0.027055,0.240958,6.388073,0.0036329999995032836,0.046692000000625455,6.438398000000129,6016,True
Fuel vectors,128,nonempty_depth,0,11,0xf471c818c185f9c35ddd6c05738371e,6.8989220000000016,0.025979999999999996,0.24609199999999995,7.192078,0.0028799999993722736,0.04666300000000234,7.241620999999375,6016,True
Fuel vectors,128,nonempty_depth,0,12,0xd99e58435243d9fef9c88273b8d553b4,6.922508999999999,0.026688999999999994,0.240989,7.21273,0.003344999999654874,0.0475419999999005,7.263616999999555,6016,True
Fuel vectors,128,nonempty_depth,0,13,0xca3076acbb6ec2b695ebf174caa57ef3,7.4197180000000005,0.05690100000000001,0.24954500000000002,7.751293,0.003111000000721731,0.047090999999888083,7.80149500000061,6016,True
Fuel vectors,128,nonempty_depth,0,14,0x32fc4a6ccd676bae363546309128ef7c,9.869197,0.03718300000000001,0.2536680000000001,10.187787,0.0030589999999719453,0.046938999999746045,10.237784999999718,6016,True
Fuel vectors,128,nonempty_depth,0,15,0xb9098fe78517adc23218f8cd7d804f55,5.544438,0.025151000000000003,0.244492,5.835922,0.0030899999998723615,0.046245000000055825,5.885256999999928,6016,True
Fuel vectors,128,nonempty_depth,0,16,0xa5e537813128ccca735d65a9027cd505,5.705883000000001,0.041587,0.222106,5.987373,0.004054999999780762,0.04707799999970064,6.038505999999481,6016,True
Fuel vectors,128,nonempty_depth,0,17,0x5a05f87d329a8321f2006f4f3b11b810,6.592363,0.024388000000000003,0.2411510000000001,6.877361,0.003191999999430095,0.04668300000076897,6.927236000000199,6016,True
Fuel vectors,128,nonempty_depth,0,18,0x9246be1e9ba9f5de5baf766a256eb725,6.482489,0.026880000000000005,0.23086699999999996,6.762044,0.0028759999999294905,0.04677400000030474,6.811694000000235,6016,True
Fuel vectors,128,nonempty_depth,0,19,0xc006af35e3b4ca022ab986593a148b4f,5.748310999999999,0.022546999999999994,0.40748599999999996,6.198614,0.0031400000004566664,0.04931899999949252,6.251072999999949,6016,True
Fuel vectors,128,nonempty_depth,0,20,0x552d7d672c5bbbccfb210a425e36a1d6,6.561254000000002,0.024020000000000007,0.22928400000000007,6.835464,0.0030080000001930784,0.051723999999531145,6.890195999999724,6016,True
Fuel vectors,128,nonempty_depth,0,21,0xdbf8f061b38993c8d7dc1f521c3df09f,6.482704000000003,0.025761999999999993,0.21630599999999997,6.745271,0.002814000000128658,0.05266099999978735,6.800745999999916,6016,True
Fuel vectors,128,nonempty_depth,0,22,0x800b108f968347f00ac77eb6511893e1,5.541352999999999,0.02480200000000001,0.19775099999999998,5.784267,0.003133999999960224,0.05246899999988841,5.8398699999998485,6016,True
Fuel vectors,128,nonempty_depth,0,23,0x7fde8eebf388fcff667a89be60430cc6,6.280366000000003,0.023991999999999992,0.28611299999999995,6.610918,0.0029579999996087736,0.0538400000005268,6.667716000000135,6016,True
Fuel vectors,128,nonempty_depth,0,24,0x90a21fd1ef7b2ead7bf8b13df631f94d,6.27966,0.047485,0.218354,6.565703,0.005035000000042089,0.05158399999949381,6.622321999999536,6016,True
