dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
Polygon multi,128,activebalance,2,0,0x86dadbff4a954dd181f4392923ef11d1,9.075559999999998,0.17891700000000002,1.009621,10.302879,0.02734299999929135,0.11462899999514775,10.44485099999444,25984,True
Polygon multi,128,activebalance,2,1,0x28f87220cdad7a793e9808d7a520090c,12.518206,0.06839500000000001,0.8997609999999999,13.531031,0.01052000001777742,0.07371700002067882,13.615268000038457,25984,True
Polygon multi,128,activebalance,2,2,0x2c055c9cfb68cf8c5d95d8c6ffa10924,9.560478999999997,0.07569300000000004,0.9063379999999998,10.583074,0.006399000000101296,0.07203699999536184,10.661509999995463,25984,True
Polygon multi,128,activebalance,2,3,0xc70101064570506885dd9b78ed3bc51d,9.869251000000002,0.08560400000000001,1.0626540000000004,11.061455,0.008416000014221936,0.0752589999990505,11.145130000013273,25984,True
Polygon multi,128,activebalance,2,4,0x281c71b96b716d171353d30699e7097d,9.882874999999997,0.07152899999999995,1.0630419999999998,11.061098,0.0065499999948315235,0.07281999998554056,11.140467999980372,25984,True
Polygon multi,128,activebalance,2,5,0x2ef1bf2f618e4e37ec92595be60a556,9.666797999999996,0.055224,0.9084110000000004,10.689741,0.0060869999742863,0.07288099999414044,10.768708999968426,25984,True
Polygon multi,128,activebalance,2,6,0x2d7d07d5463288001e79b2d5b029bca9,8.691935000000003,0.05201899999999999,0.8142050000000003,9.594712,0.00462799999922936,0.07231200001456273,9.671652000013792,25984,True
Polygon multi,128,activebalance,2,7,0xf69e4b944d6adfd8d35aee30dde7c6e4,8.043786,0.052751000000000006,0.8313939999999999,8.965347,0.007028999988278883,0.07053400000245347,9.042909999990732,25984,True
Polygon multi,128,activebalance,2,8,0x95795887499689bdd0d5ef9147c5bf69,8.816005999999996,0.05319699999999999,0.861546,9.765139,0.008968999992475801,0.08098499998254738,9.855092999975023,25984,True
Polygon multi,128,activebalance,2,9,0x4fa0f7aaf02862a864921f4b77c64d9,9.675868000000001,0.05629199999999998,0.9335380000000001,10.706548,0.004725999986021634,0.07127800000716888,10.78255199999319,25984,True
Polygon multi,128,activebalance,2,10,0xa264b10d6a269ed72be114bb661d0770,9.178296000000001,0.05218700000000002,0.8640999999999996,10.133002,0.006404999993492311,0.08821500000522065,10.227621999998712,25984,True
Polygon multi,128,activebalance,2,11,0xe3dc70f56e0f8b23e7a3b320e8691102,9.126097999999999,0.06413300000000001,0.9160700000000002,10.146276,0.006753000008075105,0.07460400001946255,10.227633000027538,25984,True
Polygon multi,128,activebalance,2,12,0x7ca3f2da03288a201cba82e4a69e2181,9.816685999999994,0.05311299999999999,0.8425750000000003,10.751785,0.00658799999087023,0.0738859999955821,10.832258999986452,25984,True
Polygon multi,128,activebalance,2,13,0xb228533a75325b5e607612a9591f0a8c,9.019606999999999,0.04255600000000001,0.828456,9.923099,0.006107000018573672,0.07190799999534647,10.00111400001392,25984,True
Polygon multi,128,activebalance,2,14,0x3c8635aa855489bff9282b21daebe198,9.095700999999998,0.07328900000000002,0.8914640000000003,10.108415,0.0073079999935998785,0.0722369999834882,10.187959999977089,25984,True
