dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
Polygon recent,128,pbc_routed,2,0,0x7b280c06521c065afe4aac387b393028,10.250873999999996,0.079739,1.042545999999999,11.419182,0.08777400000070656,0.11686299999524863,11.623818999995954,26208,True
Polygon recent,128,pbc_routed,2,1,0x2508d90f03974b14bc6ec88b70548882,12.464240000000004,0.062423,1.0346209999999996,13.60898,0.052414999998973144,0.06290299999989202,13.724297999998866,26208,True
Polygon recent,128,pbc_routed,2,2,0x26c161252981395acda05ac7e2c26779,10.194334000000001,0.06246199999999999,1.0347070000000005,11.338754,0.04008899999519144,0.05742599999791764,11.436268999993109,26208,True
Polygon recent,128,pbc_routed,2,3,0xac0e869d31d07a95ea7427e77f94c148,11.776893999999997,0.09560200000000003,1.5055550000000004,13.436524,0.04303200000066454,0.16962300000500363,13.649179000005669,26208,True
Polygon recent,128,pbc_routed,2,4,0xfecdd19621d43c38e378fa5969aaa412,11.146555000000006,0.07185899999999998,1.160092,12.458931,0.045033999995780505,0.06614999999499105,12.570114999990771,26208,True
Polygon recent,128,pbc_routed,2,5,0xffa5fd3c9b24ce04035ba2270e838e0e,12.788375,0.06532499999999998,1.04444,13.951611,0.0404070000001866,0.15796600000328453,14.149984000003471,26208,True
Polygon recent,128,pbc_routed,2,6,0x269650afd5cec04a21ea21bbd2134f7,10.436909999999996,0.06608800000000001,1.023614,11.58106,0.045355000004576596,0.05838100000232771,11.684796000006905,26208,True
Polygon recent,128,pbc_routed,2,7,0x28037205a8ea589790e7fa3ce62a6cb9,10.262431000000001,0.05657400000000003,0.9798240000000005,11.341122,0.038191999998105075,0.05637799999647086,11.435691999994576,26208,True
Polygon recent,128,pbc_routed,2,8,0xd78568e314971a8c7a25676ba4d6d547,12.456501000000006,0.06163000000000002,1.080027,13.66503,0.042247999999744934,0.058277999997358165,13.765555999997103,26208,True
Polygon recent,128,pbc_routed,2,9,0xfcb9c2d9b6694c43ef37c97b264ef43a,10.265872,0.05609400000000003,1.014585,11.384347,0.03804699999676586,0.10511400000012827,11.527507999996894,26208,True
