dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
ZKsync broad,128,pbc_routed,2,0,0xee2d48772d945c264a2401d0930a1031,31.452917000000003,0.375593,4.454388,36.392807,0.10185000002138622,0.11595500001249093,36.610612000033875,141920,True
ZKsync broad,128,pbc_routed,2,1,0x5e41eb9e77645ca6768c040931f32a20,46.22772999999998,0.6027469999999997,5.10307,52.076238,0.04234599998653721,0.07940299997244438,52.19798699995898,141920,True
ZKsync broad,128,pbc_routed,2,2,0x1e83e5928bec64e211fdc27b5aac4eca,33.859511,0.515227,4.654000000000002,39.213917,0.03392499996834886,0.07496799997852577,39.32280999994688,141920,True
ZKsync broad,128,pbc_routed,2,3,0xeb4ac7e37da209bfcbcc95049542d8fb,37.109846999999995,0.45465199999999995,5.047812999999999,42.749233,0.034475000006750633,0.07691700000123092,42.86062500000798,141920,True
ZKsync broad,128,pbc_routed,2,4,0x204d2912eb8901599466f9660e8ed27a,41.72129900000005,0.492187,5.619532999999999,47.980903,0.03463899997768749,0.075607000042055,48.09114900001974,141920,True
ZKsync broad,128,pbc_routed,2,5,0x89a762b745a4baa04bc8420530766523,39.62869400000002,0.5932389999999997,4.758312999999998,45.180494,0.03673399999115645,0.07141999998339088,45.28864799997455,141920,True
ZKsync broad,128,pbc_routed,2,6,0xc8228baeb27d541bc3785438306ff7d2,60.81665800000002,0.6496510000000004,5.459091,67.129405,0.03800299998601986,0.07158500000059576,67.23899299998662,141920,True
ZKsync broad,128,pbc_routed,2,7,0x1e2e301bd57809ebba61245d43b10dda,41.945795000000004,0.6211470000000002,5.500290999999999,48.209063,0.031304999993153615,0.07109699998864016,48.311464999981794,141920,True
ZKsync broad,128,pbc_routed,2,8,0x2ec59d401b7cef12140914af9928a22,36.43852200000001,0.4619649999999998,5.142707000000001,42.179078,0.03502200002003519,0.07063200001766745,42.2847320000377,141920,True
ZKsync broad,128,pbc_routed,2,9,0x21acf8aacbaad7779fdb32d1455a10f3,29.807691000000005,0.40488300000000005,5.102400000000002,35.434045,0.02985300000091229,0.07154399997943983,35.53544199998035,141920,True
ZKsync broad,128,pbc_routed,2,10,0xac1a468f6efe5225e7b4c0623e5b9db1,35.69140699999998,0.4893060000000001,5.170871000000002,41.500799,0.031170999989171833,0.09570399998892754,41.6276739999781,141920,True
ZKsync broad,128,pbc_routed,2,11,0xc55e6939551ae2c2ca0804dc7df024e7,31.938481000000007,0.41075099999999964,5.396811,37.874802,0.03095699997857082,0.07524699998384676,37.98100599996242,141920,True
ZKsync broad,128,pbc_routed,2,12,0xc8564363735e0fc5e677c136442026b9,39.67919100000001,0.5746210000000003,5.441958000000003,45.866142,0.02541800000699368,0.08899599998812846,45.980555999995126,141920,True
ZKsync broad,128,pbc_routed,2,13,0x6950918c6b0ad86ba86c69988b673a93,44.995028999999995,0.5247489999999996,5.5762979999999995,51.421147,0.034075999963079084,0.07446900002605616,51.52969199998913,141920,True
ZKsync broad,128,pbc_routed,2,14,0x54841cbd14ed3b51cdec70318ba3963,37.58896999999998,0.46559700000000015,5.312813999999997,43.520949,0.02925699999423159,0.07222400000728157,43.622430000001515,141920,True
ZKsync broad,128,pbc_routed,2,15,0x71c666482ac48f5609766a63683bfd7f,31.827691999999995,0.40464999999999984,4.918899999999997,37.280169,0.03096800003277167,0.07160699999531062,37.38274400002808,141920,True
ZKsync broad,128,pbc_routed,2,16,0x9e77e3911c8c7dd74102f9995c51439f,45.07243000000001,0.5807929999999997,5.397028,51.196707,0.03502799995658279,0.07139400003097762,51.303128999987564,141920,True
ZKsync broad,128,pbc_routed,2,17,0x55e9c9438cdf41c77c098c7b83958773,49.27569000000001,0.5260939999999996,5.635794999999996,55.592838,0.02891500002988323,0.06477400000903799,55.68652700003892,141920,True
ZKsync broad,128,pbc_routed,2,18,0xcfabec43e77d6f7d2e4eb44661ceff38,39.77204699999998,0.4525089999999999,5.459982,45.827884,0.026885000011134252,0.06371199998511656,45.91848099999625,141920,True
ZKsync broad,128,pbc_routed,2,19,0xcdb88235d90127f19040a2fd1d111c8d,47.441199,0.578269,5.764676999999998,53.961235,0.027007000028334005,0.06487699999979668,54.05311900002813,141920,True
ZKsync broad,128,pbc_routed,2,20,0x7bb23d0ef88f0d897718336a66f264eb,45.53277399999998,0.49210000000000026,5.498653,51.674417,0.032275999956254964,0.06639000002905959,51.77308299998531,141920,True
ZKsync broad,128,pbc_routed,2,21,0x2d4c53e675bbd6a2aec4e2b9f5e09c90,42.69433000000002,0.48780799999999996,5.593705999999998,48.935819,0.029707000010148477,0.06821400000944777,49.0337400000196,141920,True
ZKsync broad,128,pbc_routed,2,22,0xe4c504260180b0ba3437ffa602192bf8,37.714949000000004,0.48804199999999986,4.9726440000000025,43.336418,0.028103999966333504,0.06447599997727593,43.42899799994361,141920,True
ZKsync broad,128,pbc_routed,2,23,0xc91da567c7902a16b2049d7dc8ff011d,36.896893000000006,0.6140700000000002,5.027010999999998,42.671785,0.034439999978985725,0.06420799996931237,42.7704329999483,141920,True
ZKsync broad,128,pbc_routed,2,24,0x1a485dbe639cd5e242cee4278007cd4,36.91478099999999,0.4647469999999998,5.305506999999998,42.842571,0.6153840000138189,0.06932200000164812,43.52727700001547,141920,True
ZKsync broad,128,pbc_routed,2,25,0x5062341335eebbe00bb22e25358efdc7,35.227410000000006,0.5126999999999999,4.93071,40.793276,0.044982000019899715,0.06805200001736011,40.90631000003726,141920,True
ZKsync broad,128,pbc_routed,2,26,0x829b68ea15ffdea7b47010fcfb1443b3,31.170037999999998,0.40993100000000016,4.779996999999996,36.478533,0.03530200001478079,0.06558800004086152,36.57942300005564,141920,True
ZKsync broad,128,pbc_routed,2,27,0x1da6687d0db574ee4899203dd4b28257,43.944537000000004,0.50496,5.036912000000001,49.630734,0.032592000025033485,0.06719499998553147,49.73052100001056,141920,True
ZKsync broad,128,pbc_routed,2,28,0xa5467b4e26d8d0d9288895cb9fa2a2ab,45.250533,0.640766,5.185938000000002,51.28602,0.029404000031263422,0.06683399999474204,51.382258000026006,141920,True
ZKsync broad,128,pbc_routed,2,29,0x9f12f70b39a825f48f69ecd453be4e5,41.345862000000004,0.5743549999999998,4.8840629999999985,46.958343,0.02898600001799423,0.06547500004217,47.05280400006016,141920,True
ZKsync broad,128,pbc_routed,2,30,0x6589bd6b861112412307def9457060ba,29.248485000000006,0.408343,4.479531000000001,34.27686,0.033400999996047176,0.06718200000932484,34.37744300000537,141920,True
ZKsync broad,128,pbc_routed,2,31,0xfe91c577f478327463b6b1badefb172e,33.38535999999999,0.428475,4.648667,38.578721,0.030346999949415476,0.05604599999742277,38.66511399994684,141920,True
ZKsync broad,128,pbc_routed,2,32,0x18d00a6c08f5b6768ed2626250cad1f5,41.063492000000004,0.5418559999999998,5.069916,46.816167,0.03356700000267665,0.055172000031689095,46.904906000034366,141920,True
ZKsync broad,128,pbc_routed,2,33,0x61f76e52ec2a5d43a7716a1cda4d6dad,39.95389899999998,0.4652419999999999,4.989204,45.546143,0.029722000022047723,0.056631999996170634,45.63249700001822,141920,True
ZKsync broad,128,pbc_routed,2,34,0x8f3daaeac91e3a4d9bd27248995ce10e,41.585433999999964,0.49705000000000027,5.146287999999999,47.422567,0.02843600003643587,0.055971999984194554,47.50697500002063,141920,True
ZKsync broad,128,pbc_routed,2,35,0x981e46c49d7ce2679ac20356cd1a5e1d,42.47243800000001,0.615565,5.0059260000000005,48.234682,0.031136999950831523,0.05674900000940397,48.322567999960235,141920,True
ZKsync broad,128,pbc_routed,2,36,0x9a8e414aad209102f729383fbcd8008c,40.748847999999974,0.5299960000000001,5.305306999999999,46.72904,0.033105999989402335,0.05649700000276425,46.818642999992164,141920,True
ZKsync broad,128,pbc_routed,2,37,0x797670735398b33bfbeb22be4b8a16d6,31.446198,0.41764900000000005,4.438309999999997,36.426111,0.029618000041864434,0.05631999999877735,36.51204900004064,141920,True
ZKsync broad,128,pbc_routed,2,38,0x92c04a3ca7764848f409184b6cdd2f3a,30.695214,0.42855600000000005,4.640012,35.900056,0.027053999986037525,0.05515500004094065,35.98226500002698,141920,True
ZKsync broad,128,pbc_routed,2,39,0xc9aa57bad52663cc00b1046cc4e37a3c,34.840511000000014,0.5090459999999999,4.7304629999999985,40.200757,0.027783999996700004,0.07334699995453775,40.30188799995124,141920,True
ZKsync broad,128,pbc_routed,2,40,0x90a8b88cfa8d1362ec65d9bd3cead75d,40.31414700000001,0.46782500000000016,4.958256,45.875386,0.029616999995596416,0.05743299999494411,45.96243599999054,141920,True
ZKsync broad,128,pbc_routed,2,41,0x8b8488e3033781a9b9abae565a6c1c6a,32.79156500000001,0.39418199999999975,4.4899130000000005,37.800532,0.024727999971219106,0.055422000002636196,37.88068199997385,141920,True
ZKsync broad,128,pbc_routed,2,42,0x2c64c07cf5f2768d18756d1d4d56100,40.377020000000016,0.49458499999999994,5.129992999999997,46.141178,0.029753000035270816,0.055034000013165496,46.22596500004843,141920,True
ZKsync broad,128,pbc_routed,2,43,0x7371d5b1cc60c157aa33d393295df0dc,35.666036999999996,0.489215,4.747960000000002,41.020374,0.02718400003232091,0.054681999984040885,41.10224000001636,141920,True
ZKsync broad,128,pbc_routed,2,44,0xb569eaae1bbe963d0b7fc2ab107612ae,31.938948000000014,0.415573,4.726630999999999,37.197552,0.028628000052322022,0.050020999992739235,37.27620100004506,141920,True
ZKsync broad,128,pbc_routed,2,45,0x111e0a83484ab4a0c6fc871025d56bda,31.773891999999993,0.4084839999999998,4.537118000000002,36.841232,0.029444999995575927,0.06573499996420651,36.93641199995978,141920,True
ZKsync broad,128,pbc_routed,2,46,0x978d221b2d6f4ce50a0754bbf4c80d9a,30.488278,0.4496430000000001,4.838557,35.90299,0.025250999954096187,0.049825000019154686,35.97806599997325,141920,True
ZKsync broad,128,pbc_routed,2,47,0xe568aae518658ec93af7fbb0f6107409,27.257107,0.41257899999999975,4.758211999999999,32.588014,0.027933000012581033,0.04935000004024914,32.66529700005283,141920,True
ZKsync broad,128,pbc_routed,2,48,0x72a73386f720526fd1be9cf0be8b37b4,27.93449800000002,0.4452949999999999,4.81665,33.314544,0.0292230000127347,0.04788299997926515,33.391649999992,141920,True
ZKsync broad,128,pbc_routed,2,49,0xf003c438423ba97095cdc5eca4e4b46c,26.54629299999999,0.3917920000000001,4.340295999999999,31.385246,0.023999999996249244,0.04779200003213191,31.45703800002838,141920,True
ZKsync broad,128,pbc_routed,2,50,0xb58303ef9dd17c5cb34b6d045a368830,31.113388999999994,0.4269310000000001,4.609130000000002,36.269506,0.023575999989589036,0.04827100002557927,36.34135300001517,141920,True
ZKsync broad,128,pbc_routed,2,51,0xa2617d39e1751a4f4c442d76c41ac8e,30.17857100000001,0.5496730000000001,4.910053000000001,35.758341,0.027955999996720493,0.04905699995561008,35.83535399995233,141920,True
ZKsync broad,128,pbc_routed,2,52,0x1d5276a7bdb1b4904acd1e23b81ff71c,36.860356999999965,0.526171,5.008603,42.519602,0.030565000031401723,0.049244999956954416,42.599411999988355,141920,True
ZKsync broad,128,pbc_routed,2,53,0x7d7fcef48c2e4581a8ea0411cbf6912b,31.988950999999993,0.39843799999999996,4.850381999999998,37.363636,0.027350000038950384,0.04992000003767316,37.44090600007662,141920,True
ZKsync broad,128,pbc_routed,2,54,0x1a3ca5bfe239e5d35998c4cfaa03b258,37.261966999999984,0.47260599999999997,4.785558000000003,42.671939,0.026768999987325515,0.048970000023018656,42.747678000010346,141920,True
ZKsync broad,128,pbc_routed,2,55,0xb43a4ff554025b70d0dc44f62d02034b,36.83972399999998,0.5046020000000006,4.963361999999999,42.480123,0.025915999970038683,0.049267999997937295,42.555306999967975,141920,True
ZKsync broad,128,pbc_routed,2,56,0x5a118cbd874663d426eeabb7d78c4fc5,46.35059500000002,0.5293779999999993,5.318716000000003,52.355526,0.027920000036374404,0.045870000008108036,52.42931600004448,141920,True
ZKsync broad,128,pbc_routed,2,57,0x531a032726010993653ac74e7ab9f21c,36.82549,0.4733420000000002,5.243319000000002,42.686033,0.02627200001370511,0.044709999997394334,42.7570150000111,141920,True
ZKsync broad,128,pbc_routed,2,58,0x97de9493b2ba350efa0fcd8fe76fb1ad,37.210291000000005,0.43943000000000026,5.019637,42.816683,0.025502000028154725,0.048369000012371544,42.890554000040524,141920,True
ZKsync broad,128,pbc_routed,2,59,0x18922e9ca3739c9d34699d525519af44,33.174016,0.43825099999999995,4.809187,38.551625,0.025934999996479746,0.04341200002500045,38.62097200002148,141920,True
ZKsync broad,128,pbc_routed,2,60,0x8419c71dab40d991b380e095d51aece4,30.314634000000005,0.421326,4.903860999999995,35.820461,0.02537300002813936,0.04317299999456736,35.88900700002271,141920,True
ZKsync broad,128,pbc_routed,2,61,0xd88774df4ecc914f92e909e0bc1230ac,35.64159400000001,0.48267499999999997,4.9304650000000025,41.190955,0.026608999974087055,0.04267200000640514,41.260235999980495,141920,True
ZKsync broad,128,pbc_routed,2,62,0xdf747d684001c190ca933573fc034b23,35.27467800000001,0.4972339999999999,4.768690999999999,40.669704,0.029164000011405733,0.044708000018545135,40.743576000029954,141920,True
ZKsync broad,128,pbc_routed,2,63,0x57f108eb377154ddd1c80f94e5b39c7,27.546341000000005,0.4779680000000002,4.609914999999996,32.765225,0.023691999956554355,0.043500999993284495,32.83241799994984,141920,True
ZKsync broad,128,pbc_routed,2,64,0x5f6a3ba8a2d75c6b63d8853ff93b593,31.82635099999998,0.4540430000000002,4.6556609999999985,37.066322,0.0689319999764848,0.042418000020916224,37.1776719999974,141920,True
