dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
ZKsync sample,128,first_fit,4,0,0x36e72caecbfbfa301bce6f2962277305,7.773514999999998,0.058312,0.5770360000000001,8.437354,0.037925999976096136,0.1130990000035581,8.588378999979653,16640,True
ZKsync sample,128,first_fit,4,1,0x9ee1c6beec04487f989f5fd42275c5a9,7.033110999999998,0.04279300000000001,0.577491,7.683994,0.014561999989837204,0.07846299999414441,7.777018999983982,16640,True
ZKsync sample,128,first_fit,4,2,0x6d3b09e6032cdf4f412f0bcaed1dfb63,9.119755999999997,0.052749000000000004,0.6318489999999999,9.839848,0.00999699997805692,0.07602200000178527,9.925866999979842,16640,True
ZKsync sample,128,first_fit,4,3,0xd83d46d8e3f31fa8eabbc2c16c640744,8.831873999999996,0.09983699999999998,0.616124,9.616454,0.010016000004497982,0.07382100000086211,9.70029100000536,16640,True
ZKsync sample,128,first_fit,4,4,0xe870dbb67b858110fd51e1c47acf376a,8.427218,0.05015599999999998,0.6275180000000001,9.139062,0.009425000001783701,0.07706600001711195,9.225553000018895,16640,True
ZKsync sample,128,first_fit,4,5,0xdc3686de774b8a2cc567437de3011da1,7.846712,0.11238700000000003,0.591395,8.583098,0.009089999991829245,0.07550899999841931,8.667696999990248,16640,True
ZKsync sample,128,first_fit,4,6,0x6b546c17f9d567e579c978aa7a8ccab4,7.298688000000001,0.043009,0.6070589999999995,7.97821,0.006504999987555493,0.08029100001749612,8.065006000005052,16640,True
ZKsync sample,128,first_fit,4,7,0xfb9bde2bd9fbf1947ae0e37a58889641,8.114559000000002,0.08029400000000002,0.6337360000000001,8.859455,0.006127999995442224,0.07957500000088658,8.94515799999633,16640,True
ZKsync sample,128,first_fit,4,8,0xa1e2e7ae21c90158b6fe227553b518b7,6.563562,0.04356799999999998,0.5988930000000001,7.234154,0.01717600000006314,0.07379999999557185,7.325129999995635,16640,True
ZKsync sample,128,first_fit,4,9,0xcaa01be114bc50909574e86ad92888cb,7.901123000000001,0.044602,0.6440099999999999,8.620846,0.007231000012097866,0.07224199998745462,8.700318999999553,16640,True
ZKsync sample,128,first_fit,4,10,0xf2e87ce00d4a95840465f2a266be2f36,7.9649,0.11058300000000006,0.6396590000000002,8.746199,0.006022999997412626,0.07174600000325881,8.823968000000672,16640,True
ZKsync sample,128,first_fit,4,11,0x752ccefe883f6b6764d1e810091bb2a6,7.118988,0.03998499999999999,0.5784529999999999,7.764896,0.0050760000078753365,0.07299400002125367,7.842966000029129,16640,True
ZKsync sample,128,first_fit,4,12,0x7bc9832f1375430457e5113117a0822f,7.700172,0.08441699999999994,0.561265,8.373641,0.005909000009296506,0.06907700000624573,8.448627000015541,16640,True
ZKsync sample,128,first_fit,4,13,0xb3576dbf7ba335bced44f56c213f08c8,6.858502000000001,0.04046,0.5272140000000002,7.457449,0.006638000002112676,0.06841100000087863,7.532498000002992,16640,True
ZKsync sample,128,first_fit,4,14,0xa7db637a80071872bfaeec5d11c81f29,6.992341999999997,0.04408499999999999,0.601404,7.67305,0.0053790000151821005,0.07287099998620761,7.75130000000139,16640,True
ZKsync sample,128,first_fit,4,15,0x16e7751222f5ed4bca11f6c3953d8d88,7.097965000000001,0.08293199999999999,0.5777490000000002,7.788604,0.006824999985610702,0.07665700002235099,7.872086000007962,16640,True
ZKsync sample,128,first_fit,4,16,0xed720a1128a68362ba55ec483c7313cc,6.834904999999999,0.041619,0.5842670000000001,7.486838,0.0058780000244951225,0.07098000000382854,7.563696000028323,16640,True
ZKsync sample,128,first_fit,4,17,0xd69d456f8bb0076a0c47dfbb293a75f2,7.4539760000000035,0.050074000000000014,0.5410809999999999,8.081541,0.0052379999999629945,0.07001500000569649,8.15679400000566,16640,True
ZKsync sample,128,first_fit,4,18,0x3de0feb87b06926cff17bd18132ff15e,8.357941000000002,0.05460300000000001,0.6023200000000001,9.046716,0.004649000004519621,0.08911000000466629,9.140475000009186,16640,True
ZKsync sample,128,first_fit,4,19,0x22a45b6b3be45255e13c30d853584eb7,8.638819999999999,0.04568599999999999,0.5976319999999999,9.31332,0.0048010000170961575,0.06655900000396286,9.384680000021058,16640,True
ZKsync sample,128,first_fit,4,20,0xf0c715b32ffad99440b76609b7eb4af8,9.548366999999999,0.084438,0.77229,10.43727,0.004416999985323855,0.06306200000949502,10.504748999994819,16640,True
ZKsync sample,128,first_fit,4,21,0xee1082fab97e906a9e8e8f5e7ba68ccd,6.963402999999997,0.046662999999999975,0.6117010000000002,7.652202,0.004743000005191789,0.06452299999182287,7.721467999997015,16640,True
ZKsync sample,128,first_fit,4,22,0xb7ed21fca0df4ac004b6230c0c34cdff,7.504782999999999,0.041052,0.601355,8.173881,0.005101000027707414,0.06227500000477448,8.241257000032482,16640,True
