dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
ZKsync sample,128,hybrid,1,0,0x4427276e0ee91a7598d7e526b0677b46,7.584315000000003,0.053493000000000006,0.7403719999999998,8.411931,0.03862399999832178,0.11263599999722373,8.563190999995545,20640,True
ZKsync sample,128,hybrid,1,1,0x66476b8244b053a4fb46d8a87d555c0d,7.579272999999997,0.05138200000000001,0.7309599999999998,8.39538,0.014930000006074806,0.0780690000112827,8.488379000017357,20640,True
ZKsync sample,128,hybrid,1,2,0x5732ef93843c3a77cffe0b50cd76355d,9.715502000000006,0.052629,0.8091459999999997,10.665904,0.011533000005670146,0.10102499999220527,10.778461999997875,20640,True
ZKsync sample,128,hybrid,1,3,0x83391c38a72df6eefba5af9c9f8b4576,7.67117,0.04331799999999997,0.7278390000000001,8.474362,0.01123299999505889,0.08257800000421867,8.568172999999277,20640,True
ZKsync sample,128,hybrid,1,4,0x3f49132e8497766c7a815025d85941a8,7.355889,0.03801400000000002,0.6748359999999998,8.099551,0.008836000006340328,0.08015799998872808,8.188544999995068,20640,True
ZKsync sample,128,hybrid,1,5,0x473f205b0d31e59ff3405ab210d124a8,7.475081,0.04450900000000002,0.6620759999999998,8.21118,0.007170999992922589,0.0785649999954785,8.296915999988402,20640,True
ZKsync sample,128,hybrid,1,6,0x148f3d773e9f428f81fee10c540b339c,9.322815000000002,0.049377000000000025,0.7546970000000001,10.165779,0.008606999998050924,0.07935899999722551,10.253744999995277,20640,True
ZKsync sample,128,hybrid,1,7,0x11cfc0d01e3af545fb9c1141628c98a0,8.343527,0.046571,0.7416160000000002,9.163863,0.006225999996445353,0.07856399999184305,9.248652999988288,20640,True
ZKsync sample,128,hybrid,1,8,0xa229cdf1f76aad5a6f074fdfc2915b66,8.370002000000003,0.051631000000000024,0.7294890000000002,9.185099,0.013555999998970947,0.07901700000445544,9.277672000003426,20640,True
ZKsync sample,128,hybrid,1,9,0x9a5715425575efb6623ef367d65e23e5,9.308481999999996,0.04523599999999998,0.646681,10.035914,0.007623000001899527,0.08344799999804309,10.126984999999943,20640,True
ZKsync sample,128,hybrid,1,10,0x8f041026ac63d731c5dd9efc4df04523,7.22429,0.04221799999999998,0.6776920000000001,7.97695,0.009269000003087058,0.09185400000433219,8.07807300000742,20640,True
ZKsync sample,128,hybrid,1,11,0x5ca13ea47ee42e7415a68eaf15abbb40,7.503447000000001,0.05065900000000001,0.8167360000000001,8.407642,0.007787000001258093,0.11186700000109795,8.527296000002355,20640,True
ZKsync sample,128,hybrid,1,12,0x82d981849451e4532752f57bf0ce269f,9.932962,0.08683900000000003,0.9010880000000004,10.96077,0.005572999995706596,0.09015999999917312,11.05650299999488,20640,True
ZKsync sample,128,hybrid,1,13,0x6f85b2b47eb384e5aa17b22d57f624ec,16.041743999999998,0.092253,0.8552799999999998,17.04179,0.008043000008228773,0.12629100000083326,17.17612400000906,20640,True
ZKsync sample,128,hybrid,1,14,0xba33543a15cbe6e455eca8d72f5e1e4a,9.186471000000001,0.07445199999999998,0.8405680000000001,10.154025,0.009851999990928562,0.09161399999868536,10.255490999989615,20640,True
ZKsync sample,128,hybrid,1,15,0x6a3e08739efa7cae23cb3c4f0b12f104,7.738167,0.04520099999999999,0.7632260000000002,8.580156,0.006304000010004529,0.0911550000068928,8.677615000016898,20640,True
ZKsync sample,128,hybrid,1,16,0x53b9cbbf27c1322a005f52672f29b6dc,9.588034,0.05174899999999998,0.7425339999999998,10.42437,0.008434999998030435,0.08781300000748615,10.520618000005516,20640,True
ZKsync sample,128,hybrid,1,17,0x792f33479f16f0e70a72d2e5cd404394,10.664168,0.05063199999999998,0.7007479999999998,11.454819,0.007630999988350595,0.08931600000039452,11.551765999988746,20640,True
ZKsync sample,128,hybrid,1,18,0x2214d10d97eb5d732dbecfaae3cba9a5,8.912904000000005,0.053737999999999994,0.7510049999999999,9.757982,0.00616100000172537,0.0874800000048026,9.851623000006528,20640,True
ZKsync sample,128,hybrid,1,19,0x39c71698c2712a7d96813b3ff79d4076,7.533752999999999,0.04843200000000001,0.7866199999999999,8.401831,0.0063970000070412425,0.08802000000684984,8.49624800001389,20640,True
ZKsync sample,128,hybrid,1,20,0xb6bd3d8c0ef5884792353c5acd6bf28,10.744627999999999,0.05782700000000001,0.7709550000000001,11.613583,0.00686199999222481,0.08802700000387631,11.708471999996101,20640,True
ZKsync sample,128,hybrid,1,21,0x81fbdb63ea377d7939bcc5a4c33526a8,10.454664999999995,0.049205,0.793651,11.33531,0.006693000003110683,0.08785499998964497,11.429857999992755,20640,True
ZKsync sample,128,hybrid,1,22,0x25bce354b2bf1596d03dc4e0957015cf,8.597105999999998,0.052043,0.832286,9.519573,0.006130999992137731,0.09005799999783903,9.615761999989976,20640,True
ZKsync sample,128,hybrid,1,23,0x752ccefe883f6b6764d1e810091bb2a6,8.220192999999997,0.04455299999999998,0.6732820000000003,8.972452,0.006670999994184967,0.11716499999181451,9.096287999986,20640,True
