dataset,height,method,repeat,sample_index,target_slot,query_ms,answer_ms,decode_ms,backend_wall_ms,routing_ms,proof_assembly_verify_ms,processing_ms,online_bytes,valid_root
ZKsync sample,128,nonempty_depth,0,0,0x4ee971c44483227babd7d105c136606d,9.810455000000001,0.08203399999999997,0.8303949999999997,10.79396,0.042058999994765145,0.08405599999150581,10.920074999986271,20448,True
ZKsync sample,128,nonempty_depth,0,1,0x6bbfd4ab13b450eba56bc234f6706c26,12.640340999999996,0.06262800000000002,0.7129369999999998,13.458852,0.016747000003647372,0.05562399999803347,13.531223000001681,20448,True
ZKsync sample,128,nonempty_depth,0,2,0xa62252e234bde95493969dea2f274fb5,11.154872999999995,0.10235600000000002,0.810278,12.113553,0.04782300000272244,0.14002899999354668,12.301404999996269,20448,True
ZKsync sample,128,nonempty_depth,0,3,0x399826d5012a6ab302bc1d8f66923c8a,11.375346999999998,0.06578500000000001,0.7924549999999999,12.33338,0.011224000004972368,0.05454999998733001,12.399153999992302,20448,True
ZKsync sample,128,nonempty_depth,0,4,0x1b9e8daf95788853cd896cd99e4d5001,13.042087000000004,0.07824799999999998,0.7744380000000002,13.943188,0.06652300000098421,0.05360399998721732,14.0633149999882,20448,True
ZKsync sample,128,nonempty_depth,0,5,0x6b546c17f9d567e579c978aa7a8ccab4,12.735999000000007,0.11199900000000003,0.818011,13.713139,0.009615999999823543,0.05404700000610774,13.776802000005931,20448,True
ZKsync sample,128,nonempty_depth,0,6,0x1687a13945c60f90d03c6ab6960497f,15.012111999999995,0.152148,1.0554180000000004,16.269493,0.00916400000505746,0.05319100000633625,16.331848000011394,20448,True
ZKsync sample,128,nonempty_depth,0,7,0xdad6b3953a43c56bdda25fdf83352a38,14.808742000000002,0.07603000000000001,0.7719200000000003,15.707368,0.01372299999502502,0.05430299999886756,15.775393999993893,20448,True
ZKsync sample,128,nonempty_depth,0,8,0xd66afc393e9f915167ecd8ff408c5b82,9.879390000000003,0.10356100000000006,0.7261500000000005,10.748457,0.010892000005924274,0.052806999988774805,10.8121559999947,20448,True
ZKsync sample,128,nonempty_depth,0,9,0xa75c7d5255f5811a0ee87a749f359294,11.687597,0.06431199999999995,0.7117459999999997,12.50485,0.0072610000074746495,0.053937000004111724,12.566048000011586,20448,True
