case,method,processes,verified_measured_proofs,complete_planned_repeats,estimation_scope,leaves,records,m,buckets,max_bucket,rounded_entries,pir_dimensions,L,M,matrix_rows,matrix_cols,lwe_dimension,plaintext_modulus,ciphertext_logq,noise_sigma,base_p_digits,PIR_calls,serialized_proof_wall_ms_mean,serialized_proof_wall_ms_sd,route_ms_mean,route_ms_sd,query_ms_mean,query_ms_sd,query_roundtrip_ms_mean,query_roundtrip_ms_sd,answer_ms_mean,answer_ms_sd,answer_roundtrip_ms_mean,answer_roundtrip_ms_sd,decode_ms_mean,decode_ms_sd,proof_verify_ms_mean,proof_verify_ms_sd,query_matrix_payload_bytes_mean,query_matrix_payload_bytes_sd,query_framed_bytes_mean,query_framed_bytes_sd,answer_matrix_payload_bytes_mean,answer_matrix_payload_bytes_sd,answer_framed_bytes_mean,answer_framed_bytes_sd,online_framed_bytes_mean,online_framed_bytes_sd,active_digest_payload_bytes_mean,active_digest_payload_bytes_sd,backend_rounded_raw_payload_bytes_mean,backend_rounded_raw_payload_bytes_sd,bootstrap_framed_components_bytes_mean,bootstrap_framed_components_bytes_sd,bootstrap_payload_bytes_mean,bootstrap_payload_bytes_sd,combined_peak_rss_after_setup_bytes_mean,combined_peak_rss_after_setup_bytes_sd,combined_peak_rss_final_bytes_mean,combined_peak_rss_final_bytes_sd,db_info_roundtrip_ms_mean,db_info_roundtrip_ms_sd,db_info_serialized_bytes_mean,db_info_serialized_bytes_sd,encoded_db_bytes_mean,encoded_db_bytes_sd,hint_framed_bytes_mean,hint_framed_bytes_sd,hint_matrix_bytes_mean,hint_matrix_bytes_sd,hint_roundtrip_ms_mean,hint_roundtrip_ms_sd,init_public_A_ms_mean,init_public_A_ms_sd,initialized_databases_mean,initialized_databases_sd,input_read_validate_ms_mean,input_read_validate_ms_sd,make_database_ms_mean,make_database_ms_sd,max_padded_bucket_payload_bytes_mean,max_padded_bucket_payload_bytes_sd,parameter_selection_ms_mean,parameter_selection_ms_sd,persistent_setup_wall_ms_mean,persistent_setup_wall_ms_sd,public_A_framed_bytes_mean,public_A_framed_bytes_sd,public_A_matrix_bytes_mean,public_A_matrix_bytes_sd,public_A_roundtrip_ms_mean,public_A_roundtrip_ms_sd,public_metadata_roundtrip_and_directory_ms_mean,public_metadata_roundtrip_and_directory_ms_sd,public_metadata_serialized_bytes_mean,public_metadata_serialized_bytes_sd,replicated_record_payload_bytes_mean,replicated_record_payload_bytes_sd,setup_client_to_server_bytes_mean,setup_client_to_server_bytes_sd,setup_hint_and_squish_ms_mean,setup_hint_and_squish_ms_sd,setup_server_to_client_serialized_components_bytes_mean,setup_server_to_client_serialized_components_bytes_sd,unsquished_db_matrix_bytes_mean,unsquished_db_matrix_bytes_sd,setup_serialized_payload_bytes_mean,setup_serialized_payload_bytes_sd,common_metadata_payload_bytes_mean,common_metadata_payload_bytes_sd,digest_only_cache_bytes_mean,digest_only_cache_bytes_sd,full_cache_reference_bytes_mean,full_cache_reference_bytes_sd
cluster90_n10000,ab,3,30,True,all_planned_processes,10000,19998,27,27,1088,1092,182x156,182,156,182,156,1024,991,32,6.4,26,27,8.9101202,0.4936918937259656,0.028594333333333333,0.00632679161371175,7.213017833333334,0.40206489320054223,0.0192063,0.0007482934785229665,0.16044296666666666,0.02454247726296866,0.019021966666666668,0.004339085164332838,1.4406814666666665,0.08046313677960443,0.020400866666666666,0.0034807008049146273,16848,0.0,17504,0.0,19656,0.0,20312,0.0,37816,0.0,639936,0.0,943488,0.0,38898781,0.0,38897053,0.0,1299666261.3333333,9576522.748496415,1299666261.3333333,9576522.748496415,0.6461979999999999,0.05521602129817037,2951,0.0,1022112,0.0,20128608,0.0,20127744,0.0,19.742063666666667,3.3177424338236876,293.11539533333337,14.822970286910467,27,0.0,69.144668,10.978786879494066,26.53346433333333,2.7280058418944653,940032,0.0,1.0009106666666667,0.15507283910902422,501.06541233333337,28.904352013134204,17253216,0.0,17252352,0.0,14.356916666666667,1.485597803634729,19.703642666666667,2.1531446362458637,1514006,0.0,639936,0.0,0,0.0,54.68989,2.4665955453920656,38898781,0.0,3066336,0.0,38898781,0.0,1405050,0.0,639936,0.0,2044986,0.0
cluster90_n10000,first_fit,3,30,True,all_planned_processes,10000,19998,27,27,5202,5205,390x347,390,347,390,347,1024,991,32,6.4,26,27,17.992059866666665,1.8658233662171093,0.0300268,0.005076758283590032,14.3347083,1.5084164726765914,0.0301778,0.004779810025513568,0.5429012,0.056591079375728416,0.027467,0.005467171971869918,2.991757766666667,0.2837781465677075,0.019746033333333333,0.0015984170742748373,37584,0.0,38240,0.0,42120,0.0,42776,0.0,81016,0.0,639936,0.0,4497120,0.0,83024979,0.0,83023251,0.0,1299364522.6666667,9001327.265620628,1299364522.6666667,9001327.265620628,0.8096623333333333,0.03027334012515517,2934,0.0,4885920,0.0,43131744,0.0,43130880,0.0,44.747154333333334,5.5375226816288885,659.3459123333334,84.73761433467428,27,0.0,72.46395066666668,9.046721447741902,30.19335,3.0764432983396564,4494528,0.0,1.4380760000000001,0.586617829006245,1126.964687,134.08890510928416,38376288,0.0,38375424,0.0,37.395725999999996,10.433234798887113,20.104775,0.7147353710262289,1514013,0.0,639936,0.0,0,0.0,258.05391366666663,26.558329345101058,83024979,0.0,14615640,0.0,83024979,0.0,1405050,0.0,639936,0.0,2044986,0.0
cluster90_n10000,flat,3,30,True,all_planned_processes,10000,19998,27,1,19998,20020,728x715,728,715,728,715,1024,991,32,6.4,26,27,24.669052133333334,1.9802731266696616,0.035134900000000004,0.0024898581244721545,22.016845733333334,1.8893605900590003,0.0848673,0.013023742404931074,0.7601224,0.04220967319075097,0.08323913333333334,0.011706509925820476,1.6541193666666667,0.05042676430193926,0.021547966666666668,0.004058422248033506,77436,0.0,78092,0.0,78624,0.0,79280,0.0,157372,0.0,639936,0.0,640640,0.0,7424659,0.0,7424595,0.0,1299416405.3333333,9077475.628108364,1299416405.3333333,9077475.628108364,0.073658,0.023154254295917193,111,0.0,695968,0.0,2981920,0.0,2981888,0.0,2.2447,1.402245573429633,48.41896766666667,3.109027725551722,1,0.0,73.52618466666667,9.24741594124414,16.170143666666668,7.943419186332882,639936,0.0,0.906493,0.09714914849343761,208.46583066666668,20.442249284704033,2928672,0.0,2928640,0.0,3.321554,0.5846075168315918,21.47697266666667,1.0226660053176366,1513956,0.0,639936,0.0,0,0.0,40.58805,5.412923712080836,7424659,0.0,2082080,0.0,7424659,0.0,1405050,0.0,639936,0.0,2044986,0.0
cluster90_n10000,pbc,3,30,True,all_planned_processes,10000,19998,27,41,1538,1544,208x193,208,193,208,193,1024,991,32,6.4,26,41,17.435465933333333,1.3302043266369725,0.0564312,0.01860039499123607,14.424857966666668,1.1566912662629396,0.032702300000000004,0.0032016056549800127,0.3204202666666667,0.0036486837987599594,0.02737986666666667,0.004703068626262362,2.5407542,0.17250078641093206,0.0232081,0.002510106784581088,31980,0.0,32972,0.0,34112,0.0,35104,0.0,68076,0.0,639936,0.0,2025728,0.0,69286872,0.0,69284248,0.0,1299529728,9340562.262517605,1299529728,9340562.262517605,0.9819526666666665,0.08339686918783788,4510,0.0,2217280,0.0,34932000,0.0,34930688,0.0,44.86319166666666,1.6335002409948702,594.4826886666667,24.059140409218838,41,0.0,137.74547833333332,12.610861484187923,67.80152766666667,3.214612900702257,2017856,0.0,1.1050566666666666,0.3475640439722345,1059.599298,41.37277094884883,32412960,0.0,32411648,0.0,35.01556633333333,1.5373337711818889,41.924468000000005,3.9580055001319794,1937402,0.0,1919808,0.0,0,0.0,130.36560733333334,6.707454204947096,69286872,0.0,6583616,0.0,69286872,0.0,1405050,0.0,639936,0.0,2044986,0.0
complete_h10,ab,3,30,True,all_planned_processes,1024,2046,10,10,205,207,78x69,78,69,78,69,1024,991,32,6.4,26,10,1.7882482666666666,0.48697123071829757,0.0151494,0.004960268810256155,1.5626748666666666,0.4247086352130403,0.005850833333333333,0.0023282326995670627,0.011965566666666667,0.0037574027949280795,0.0038780000000000004,0.0005122268149950762,0.18010603333333333,0.04972535199195008,0.0047594000000000004,0.0016301163118010932,2760,0.0,3008,0.0,3120,0.0,3368,0.0,6376,0.0,65472,0.0,66240,0.0,6138809,0.0,6138169,0.0,1299393194.6666667,9412160.899157926,1299393194.6666667,9412160.899157926,0.2902806666666667,0.024068091435203862,1080,0.0,71760,0.0,3195200,0.0,3194880,0.0,4.232544666666667,0.628378467936588,60.451922333333336,12.06032742634594,10,0.0,14.549899333333332,6.478379420118146,5.198241,0.8022928663549243,65600,0.0,1.0616456666666667,0.2706639591196681,96.96369800000001,19.56996021225084,2826560,0.0,2826240,0.0,2.6163119999999997,0.6517368120652692,2.956592,0.9330567550010019,115969,0.0,65472,0.0,0,0.0,5.255644333333334,1.5347599681283504,6138809,0.0,215280,0.0,6138809,0.0,106805,0.0,65472,0.0,172277,0.0
complete_h10,first_fit,3,30,True,all_planned_processes,1024,2046,10,10,1024,1029,182x147,182,147,182,147,1024,991,32,6.4,26,10,3.3146949333333335,0.4080744707159385,0.018546166666666666,0.0016239377830857109,2.609546566666667,0.2628648110589233,0.010153466666666666,0.000500850529932168,0.05683066666666667,0.005608688953163063,0.010196666666666666,0.0012088948934185033,0.5988399666666666,0.1398513010255655,0.0054575,0.0012300956426229631,5880,0.0,6128,0.0,7280,0.0,7528,0.0,13656,0.0,65472,0.0,329280,0.0,13593538,0.0,13592898,0.0,1299417770.6666667,9246134.006976394,1299417770.6666667,9246134.006976394,0.32973233333333335,0.06257365150231631,1082,0.0,356720,0.0,7455040,0.0,7454720,0.0,8.470547666666667,2.6263906260330603,118.07489033333334,20.485291721699273,10,0.0,11.261499666666667,1.1351451270429405,5.926701666666666,1.2510321094941306,327680,0.0,0.961517,0.23724420772908242,175.98992566666666,30.72444851735511,6021440,0.0,6021120,0.0,5.928978,0.562074460242591,2.531925,0.6489842286619915,115976,0.0,65472,0.0,0,0.0,22.19823333333333,4.2254123044079765,13593538,0.0,1070160,0.0,13593538,0.0,106805,0.0,65472,0.0,172277,0.0
complete_h10,flat,3,30,True,all_planned_processes,1024,2046,10,1,2046,2052,234x228,234,228,234,228,1024,991,32,6.4,26,10,3.3680909666666667,0.48501938461470107,0.016312633333333333,0.0034454219688353606,3.0732947999999998,0.4126603341498187,0.0130857,0.009184208934361195,0.03986926666666667,0.003397730263474918,0.008575,0.0018857174417181378,0.20264456666666666,0.04931667192566155,0.0036341,0.0007276947436940849,9120,0.0,9368,0.0,9360,0.0,9608,0.0,18976,0.0,65472,0.0,65664,0.0,2008479,0.0,2008415,0.0,1299314005.3333333,9342522.873127008,1299314005.3333333,9342522.873127008,0.04695666666666667,0.003432011703554247,110,0.0,71136,0.0,958496,0.0,958464,0.0,0.84215,0.027857479767559732,17.939085666666667,3.2826476614745506,1,0.0,10.614448333333334,2.7139457933647706,2.759522,0.4520216497215592,65472,0.0,1.1820886666666668,0.24609101799402056,41.124445,5.072317928246709,933920,0.0,933888,0.0,1.1122126666666667,0.1717281488584016,2.496283666666667,0.3108384584270958,115953,0.0,65472,0.0,0,0.0,3.7322473333333335,0.20353678716716858,2008479,0.0,213408,0.0,2008479,0.0,106805,0.0,65472,0.0,172277,0.0
complete_h10,pbc,3,30,True,all_planned_processes,1024,2046,10,15,446,450,130x90,130,90,130,90,1024,991,32,6.4,26,15,3.7734254,0.32955537724635897,0.03168816666666666,0.00866058048882021,2.9447450666666666,0.2357040925831864,0.013456566666666666,0.0028591471986124358,0.09250756666666667,0.07723115164370742,0.0221591,0.012614362682276104,0.6508816,0.08332082065384377,0.0075358000000000005,0.0011697311272253984,5400,0.0,5768,0.0,7800,0.0,8168,0.0,13936,0.0,65472,0.0,216000,0.0,13672057,0.0,13671097,0.0,1299335850.6666667,9337895.770357974,1299335850.6666667,9337895.770357974,0.365161,0.018136832027672304,1620,0.0,234000,0.0,7987680,0.0,7987200,0.0,9.431073,2.9298608247471427,104.44904566666666,19.837368697490962,15,0.0,19.688629333333335,2.573721564194995,11.212076333333332,0.9966499250370381,214080,0.0,0.8858213333333333,0.1701622247278559,173.62182866666666,32.14108961122902,5530080,0.0,5529600,0.0,5.078383,0.7949613299695782,6.044918,1.974549277189101,152677,0.0,196416,0.0,0,0.0,15.835861666666666,3.5513688578541576,13672057,0.0,702000,0.0,13672057,0.0,106805,0.0,65472,0.0,172277,0.0
complete_h14,ab,3,30,True,all_planned_processes,16384,32766,14,14,2354,2360,260x236,260,236,260,236,1024,991,32,6.4,26,14,5.614652966666667,0.24271065515923132,0.020781366666666665,0.00032214044038793483,4.396148966666667,0.20968313091553997,0.0110365,0.0006190753346726065,0.14562256666666668,0.025166069885131724,0.01264,0.000896015468616474,1.0117861333333333,0.10597393384895808,0.0094404,0.00390892181553942,13272,0.0,13616,0.0,14560,0.0,14904,0.0,28520,0.0,1048512,0.0,1057280,0.0,30460228,0.0,30459332,0.0,1302805162.6666667,12016867.063782861,1302805162.6666667,12016867.063782861,0.3576476666666667,0.045640993025276466,1540,0.0,1150240,0.0,14909888,0.0,14909440,0.0,17.632027333333333,3.3238192266900306,201.58638533333334,5.4955407307292585,14,0.0,114.211021,4.082900679275829,27.792527333333336,1.1894445136522074,1054592,0.0,0.957272,0.15727274982017705,464.573866,20.982663110150945,13533632,0.0,13533184,0.0,12.415014333333335,2.161186332964452,30.032581666666665,2.948464038101249,2015168,0.0,1048512,0.0,0,0.0,56.73794633333334,1.8913514690467617,30460228,0.0,3436160,0.0,30460228,0.0,1829630,0.0,1048512,0.0,2878142,0.0
complete_h14,first_fit,3,30,True,all_planned_processes,16384,32766,14,14,16384,16406,676x631,676,631,676,631,1024,991,32,6.4,26,14,14.958814766666666,1.6982625202614,0.0176555,0.0012994301982022735,11.646563533333333,1.643613564531677,0.0294081,0.00236541797786353,0.6524255666666667,0.020724928362320903,0.030548733333333335,0.005005951264578324,2.565689166666667,0.05130205662956728,0.007229233333333333,0.0004163827846265183,35448,0.0,35792,0.0,37856,0.0,38200,0.0,73992,0.0,1048512,0.0,7349888,0.0,76966202,0.0,76965306,0.0,1298258602.6666667,10109619.494447717,1298258602.6666667,10109619.494447717,0.47957099999999997,0.014129555654725949,1523,0.0,7987616,0.0,38764992,0.0,38764544,0.0,24.856724333333332,1.1850784723562993,566.794297,11.39824093500076,14,0.0,104.96230966666667,7.89932358535921,28.594704333333333,1.5233152401014474,7340032,0.0,0.8436253333333333,0.10317090244993174,1198.732353,36.98715086981974,36184512,0.0,36184064,0.0,32.452430666666665,4.861394394349868,27.792545,1.7761815930019662,2015175,0.0,1048512,0.0,0,0.0,408.770709,17.255338485987778,76966202,0.0,23887136,0.0,76966202,0.0,1829630,0.0,1048512,0.0,2878142,0.0
