case,method,repeat,leaves,records,m,buckets,max_bucket,rounded_entries,pir_dimensions,L,M,matrix_rows,matrix_cols,lwe_dimension,plaintext_modulus,ciphertext_logq,noise_sigma,base_p_digits,PIR_calls,proofs,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,active_digest_payload_bytes,backend_rounded_raw_payload_bytes,bootstrap_framed_components_bytes,bootstrap_payload_bytes,combined_peak_rss_after_setup_bytes,combined_peak_rss_final_bytes,db_info_roundtrip_ms,db_info_serialized_bytes,encoded_db_bytes,hint_framed_bytes,hint_matrix_bytes,hint_roundtrip_ms,init_public_A_ms,initialized_databases,input_read_validate_ms,make_database_ms,max_padded_bucket_payload_bytes,parameter_selection_ms,persistent_setup_wall_ms,public_A_framed_bytes,public_A_matrix_bytes,public_A_roundtrip_ms,public_metadata_roundtrip_and_directory_ms,public_metadata_serialized_bytes,replicated_record_payload_bytes,setup_client_to_server_bytes,setup_hint_and_squish_ms,setup_server_to_client_serialized_components_bytes,unsquished_db_matrix_bytes,setup_serialized_payload_bytes,common_metadata_payload_bytes,digest_only_cache_bytes,full_cache_reference_bytes,source_input_sha256,result_sha256
uniform_n100000,ab,0,100000,199998,21,21,9552,9560,520x478,520,478,520,478,1024,991,32,6.4,26,21,10,18.0887112,0.0384714,14.4307484,0.0334768,0.6282187,0.0475815,2.8812995,0.0181965,40320,40832,43680,44192,85024,6399936,6424320,101889608,101888264,1276141568,1276141568,0.510613,2310,6988800,44728992,44728320,35.45150300000001,642.69823,21,697.646263,133.399592,6418944,1.015451,2091.838784,41116320,41115648,36.269453999999996,181.627636,16041986,6399936,0,344.68917099999993,101889608,20879040,101889608,14753044,6399936,21152980,d31201ec08209a7af5b7a6f8ea8dccab4acc62102848bf93a35da8964eee38d5,b9346f5f26b7e2b4205072244562d15f4aafb756c6b5bb1a8f06e29bbdafa83a
uniform_n100000,flat,0,100000,199998,21,1,199998,200024,2288x2273,2288,2273,2288,2273,1024,991,32,6.4,26,21,10,62.7834268,0.0286755,51.2590036,0.1803955,5.7839428,0.1347268,5.3666125000000005,0.0184523,191016,191528,192192,192704,384232,6399936,6400768,34723981,34723917,1277521920,1277521920,0.078538,113,6937216,9371680,9371648,4.448234,134.395592,1,658.167626,109.232271,6399936,0.805857,1636.649855,9310240,9310208,9.689501,219.022393,16041948,6399936,0,482.916918,34723981,20802496,34723981,14753044,6399936,21152980,4bb68311ad2c694fa7043566357af29283e63f759c911df84d8150829f117fa2,48ac5c047c93076baf1b718072397367ac68bdc616d5f4ea3cec7286df08ae8f
uniform_n100000,first_fit,0,100000,199998,21,21,52876,52900,1196x1150,1196,1150,1196,1150,1024,991,32,6.4,26,21,10,36.3809877,0.0220992,27.6118464,0.0596396,2.4789268,0.0586036,6.1215352,0.0185776,96768,97280,100464,100976,198256,6399936,35548800,217839188,217837844,1277673472,1277673472,0.7325609999999999,2315,38578176,102875808,102875136,79.85064799999999,1426.199806,21,639.338191,172.23874,35532672,0.967298,4954.70514,98919072,98918400,75.36642800000001,205.281269,16041993,6399936,0,2335.1327119999996,217839188,115533600,217839188,14753044,6399936,21152980,d92f0fc2b3ad84b6b96770e805517d3d793e6cd0e9db7882d0fb24fec9fe77b8,d0c0e8eda3cbc7204d5ef672a8a684ddd9ec1b75b7c609a5d40c582d5299022a
uniform_n100000,pbc,0,100000,199998,21,32,18993,19008,702x704,702,704,702,704,1024,991,32,6.4,26,32,10,34.3223162,0.0511854,26.7053645,0.0681962,1.601241,0.0602121,5.7889487,0.0368976,90240,91016,89856,90632,181648,6399936,19464192,204924854,204922806,1277534208,1277534208,0.835773,3552,21116160,92013568,92012544,70.022604,1336.8572940000001,32,1171.073109,407.036325,19448832,1.252676,4539.702401,92275712,92274688,79.667029,387.646988,20632022,19199808,0,1045.4960999999998,204924854,63258624,204924854,14753044,6399936,21152980,74c289b5ab2ea31c0ad941fe5f72e54c011cdf86b3e2affd6f1a36a8caf538ef,d668bb521594c64d8f91544a804a86893715ad042f047b1db53f91d3472a4085
uniform_n10000,ab,0,10000,19998,17,17,1179,1183,182x169,182,169,182,169,1024,991,32,6.4,26,17,10,5.417197,0.0716166,4.4105857,0.0110642,0.0928716,0.010493,0.7992639,0.0158525,11628,12044,12376,12792,24836,639936,643552,25975798,25974710,1280638976,1280638976,0.39574999999999994,1870,705432,12673568,12673024,11.072701,191.22649099999995,17,62.561596,21.47427,641376,0.940275,355.935372,11768352,11767808,8.735096,18.963222,1532008,639936,0,38.813107,25975798,2091544,25975798,1423072,639936,2063008,ef01ed77453c884022e1cb92d128ce0d5c5909dc88d5b3ae0edd852b38a81e0a,e3191c9def84d7abbe7839ae5a2e5f92419a309153a9a67a52c2a056dfc22f92
uniform_n10000,flat,0,10000,19998,17,1,19998,20020,728x715,728,715,728,715,1024,991,32,6.4,26,17,10,14.5597597,0.0229361,12.950619,0.0580425,0.4322977,0.0589896,1.0122918,0.0184678,48756,49172,49504,49920,99092,639936,640640,7442681,7442617,1280483328,1280483328,0.062215,111,695968,2981920,2981888,1.43537,46.360238,1,68.779569,15.965965,639936,0.803409,198.666146,2928672,2928640,3.335906,19.26303,1531978,639936,0,40.922659,7442681,2082080,7442681,1423072,639936,2063008,916fd50ca66f2819b34ebad92b05631f5ec7f4aa060f846da5011e7c6da5ea09,f45fff3731b68bc17963ba6d78da6a944a0d89139f1ddfeacdc46099eeea29df
uniform_n10000,pbc,0,10000,19998,17,26,2379,2380,260x238,260,238,260,238,1024,991,32,6.4,26,26,10,10.1875823,0.033413,8.1280372,0.0197312,0.2475099,0.017508,1.7091223,0.02109,24960,25592,27040,27672,53264,639936,1980160,54986297,54984633,1291231232,1291231232,0.618369,2860,2163200,27689792,27688960,30.497731,367.87188100000003,26,124.004514,49.96087299999999,1979328,0.990036,736.4962,25346880,25346048,23.502428000000002,37.783617,1946765,1919808,0,97.14855400000002,54986297,6435520,54986297,1423072,639936,2063008,e2c951cec124d2e0dd7e5f352323cb8969781106551c6790ea2d06833b87b862,8abd6daffb21a0a9424417c195b0c13fabe29014d6bbbc01a47c9fa0cb0c5c90
uniform_n10000,first_fit,0,10000,19998,17,17,5646,5655,390x377,390,377,390,377,1024,991,32,6.4,26,17,10,11.4099339,0.023010700000000002,9.1966217,0.0194555,0.3575128,0.0206612,1.7657983,0.0176106,25704,26120,26520,26936,53056,639936,3076320,54942696,54941608,1290727424,1290727424,0.521958,1849,3341520,27157024,27156480,24.467786,421.023242,17,65.206256,20.986049,3071424,0.793804,739.867988,26251808,26251264,22.476560000000003,18.840526,1532015,639936,0,163.418339,54942696,9998040,54942696,1423072,639936,2063008,a5e27ae1bc4c77ab45e2c7f084a9c67bc236786e677773a2f9e91cf821bc74bd,d651d073417cee04ce8af7959a06fa2a44d93a1a16e471129df5dcd3a3a35c02
complete_h14,first_fit,0,16384,32766,14,14,16384,16406,676x631,676,631,676,631,1024,991,32,6.4,26,14,10,13.8910548,0.0162565,10.638434,0.027276,0.6535716,0.0325343,2.5066477000000003,0.0068159,35448,35792,37856,38200,73992,1048512,7349888,76966202,76965306,1291145216,1291145216,0.46742500000000003,1523,7987616,38764992,38764544,25.436978,570.5330660000001,14,113.623505,27.842723,7340032,0.874594,1232.498016,36184512,36184064,35.115784999999995,29.591788,2015175,1048512,0,425.673924,76966202,23887136,76966202,1829630,1048512,2878142,4d3b489950233807ca379a59976b048701aaa38f6cdb7f80ae0a90cdd69e938d,fc0c9944c3acd73511ef1dfa5ffa670e1e51d4d5bda92fac6d45de7c11c2b122
complete_h14,pbc,0,16384,32766,14,21,4789,4802,364x343,364,343,364,343,1024,991,32,6.4,26,21,10,12.7526508,0.0351626,10.2351514,0.0227893,0.415374,0.0217275,2.0043881,0.0074845,28980,29492,30576,31088,60580,1048512,3226944,63516720,63515376,1266388992,1266388992,0.5464480000000002,2310,3516240,31310496,31309824,22.670745,420.9314299999999,21,192.296582,85.918279,3218208,1.01949,978.472201,29504160,29503488,23.673163000000002,55.925296,2699754,3145536,0,169.15050799999997,63516720,10487568,63516720,1829630,1048512,2878142,9b65bdcff9eea52052f3ab5c19130036433bbea63a977e89a0c41c9ff1fd180c,7fccf9242a116ff393d747d0d7b5e611792d96298c3118b814db7d3728cfe178
