case,method,repeat,target_id,warmup,ordinal,process_complete,included_in_performance,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,real_records,PIR_calls,root_independently_verified,three_negatives_independently_verified
uniform_n100000,ab,0,4341,False,2,True,True,17.99799,0.065573,14.68767,0.028203,0.525092,0.026988,2.637826,0.017921,40320,40832,43680,44192,85024,15,21,True,True
uniform_n100000,ab,0,2563,False,3,True,True,17.751593,0.039864,13.971587,0.041373,0.607635,0.030376,3.019995,0.019539,40320,40832,43680,44192,85024,17,21,True,True
uniform_n100000,ab,0,32877,False,4,True,True,17.718914,0.034898,13.984058,0.037191,0.606101,0.033783,2.995839,0.019896,40320,40832,43680,44192,85024,18,21,True,True
uniform_n100000,ab,0,25699,False,5,True,True,19.84546,0.035294,15.984196,0.031049,0.629079,0.03364,3.103738,0.019694,40320,40832,43680,44192,85024,16,21,True,True
uniform_n100000,ab,0,44461,False,6,True,True,18.765834,0.034891,15.273277,0.028944,0.708064,0.030885,2.664888,0.015326,40320,40832,43680,44192,85024,17,21,True,True
uniform_n100000,ab,0,65796,False,7,True,True,19.046192,0.032249,15.239705,0.040536,0.731428,0.096863,2.876377,0.020678,40320,40832,43680,44192,85024,17,21,True,True
uniform_n100000,ab,0,69428,False,8,True,True,18.253863,0.036669,13.895956,0.031333,0.707504,0.134828,3.420506,0.017896,40320,40832,43680,44192,85024,18,21,True,True
uniform_n100000,ab,0,55961,False,9,True,True,15.831581,0.038045,12.698348,0.025592,0.475456,0.022991,2.549176,0.016206,40320,40832,43680,44192,85024,18,21,True,True
uniform_n100000,ab,0,37474,False,10,True,True,16.662582,0.03198,12.74192,0.031933,0.658419,0.032569,3.125071,0.018861,40320,40832,43680,44192,85024,17,21,True,True
uniform_n100000,ab,0,47863,False,11,True,True,19.013103,0.035251,15.830767,0.038614,0.633409,0.032892,2.419579,0.015948,40320,40832,43680,44192,85024,18,21,True,True
uniform_n100000,flat,0,4341,False,2,True,True,60.888521,0.027622,48.831582,0.115712,6.716673,0.140036,5.031719,0.017517,191016,191528,192192,192704,384232,15,21,True,True
uniform_n100000,flat,0,2563,False,3,True,True,63.702918,0.0288,52.049073,0.104603,5.029232,0.105895,6.346853,0.018334,191016,191528,192192,192704,384232,17,21,True,True
uniform_n100000,flat,0,32877,False,4,True,True,56.626484,0.026125,46.250501,0.098157,5.132729,0.106843,4.986174,0.015149,191016,191528,192192,192704,384232,18,21,True,True
