case,method,repeat,target_id,warmup,ordinal,process_complete,included_in_performance,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,real_records,PIR_calls,root_independently_verified,three_negatives_independently_verified
uniform_n100000,flat,0,4341,True,0,True,False,72.425283,0.035082,60.312093,0.135755,6.408206,0.113909,5.392314,0.019706,191016,191528,192192,192704,384232,15,21,True,True
uniform_n100000,flat,0,4341,False,1,True,True,68.129557,0.037335,55.457301,0.113888,6.335277,0.114982,6.041741,0.019468,191016,191528,192192,192704,384232,15,21,True,True
uniform_n100000,flat,0,2563,False,2,True,True,63.021173,0.037322,50.841439,0.107581,6.018233,0.11568,5.871292,0.017225,191016,191528,192192,192704,384232,17,21,True,True
uniform_n100000,pbc,0,4341,True,0,True,False,34.992262,0.046611,27.157292,0.075984,1.62847,0.060728,5.996082,0.020066,90240,91016,89856,90632,181648,15,32,True,True
uniform_n100000,pbc,0,4341,False,1,True,True,34.585126,0.043798,27.583842,0.061757,1.571906,0.047693,5.254356,0.015379,90240,91016,89856,90632,181648,15,32,True,True
uniform_n100000,pbc,0,2563,False,2,True,True,37.315306,0.038757,30.231466,0.054282,1.504849,0.053636,5.405593,0.017274,90240,91016,89856,90632,181648,17,32,True,True
uniform_n100000,ab,0,4341,True,0,True,False,15.459712,0.06599,11.515221,0.028844,0.701798,0.029045,3.093478,0.018818,40320,40832,43680,44192,85024,15,21,True,True
uniform_n100000,ab,0,4341,False,1,True,True,19.407882,0.03904,15.584697,0.03673,0.608906,0.039557,3.056327,0.035862,40320,40832,43680,44192,85024,15,21,True,True
uniform_n100000,ab,0,2563,False,2,True,True,19.901096,0.0439,15.492015,0.035199,0.572366,0.044347,3.67972,0.024967,40320,40832,43680,44192,85024,17,21,True,True
uniform_n100000,first_fit,0,4341,True,0,True,False,37.125707,0.038359,28.683757,0.053636,2.334885,0.049701,5.940429,0.017632,96768,97280,100464,100976,198256,15,21,True,True
uniform_n100000,first_fit,0,4341,False,1,True,True,38.187007,0.019529,27.24939,0.073832,2.749454,0.105263,7.952751,0.027236,96768,97280,100464,100976,198256,15,21,True,True
uniform_n100000,first_fit,0,2563,False,2,True,True,41.49099,0.027218,32.638862,0.062974,2.361053,0.049483,6.326689,0.015586,96768,97280,100464,100976,198256,17,21,True,True
uniform_n1000,ab,0,916,True,0,True,False,1.785649,0.027236,1.341004,0.003798,0.015004,0.002847,0.380481,0.012647,2808,3128,4056,4376,7504,11,13,True,True
uniform_n1000,ab,0,916,False,1,True,True,2.343037,0.011462,1.224813,0.002928,0.168133,0.024909,0.894494,0.012726,2808,3128,4056,4376,7504,11,13,True,True
uniform_n1000,ab,0,798,False,2,True,True,1.83855,0.01473,1.519557,0.028193,0.016931,0.003658,0.23959,0.013193,2808,3128,4056,4376,7504,13,13,True,True
uniform_n1000,flat,0,916,True,0,True,False,3.190108,0.014125,2.884167,0.006845,0.044641,0.006246,0.22064,0.011619,11544,11864,12168,12488,24352,11,13,True,True
uniform_n1000,flat,0,916,False,1,True,True,3.889953,0.012006,3.495267,0.009423,0.124127,0.006713,0.227371,0.012256,11544,11864,12168,12488,24352,11,13,True,True
uniform_n1000,flat,0,798,False,2,True,True,4.094037,0.014022,3.749278,0.009829,0.048088,0.006347,0.248827,0.01307,11544,11864,12168,12488,24352,13,13,True,True
uniform_n1000,first_fit,0,916,True,0,True,False,3.038192,0.015326,2.484912,0.00982,0.043718,0.00474,0.464154,0.012927,6084,6404,6760,7080,13484,11,13,True,True
uniform_n1000,first_fit,0,916,False,1,True,True,2.955962,0.011005,2.397177,0.00663,0.097776,0.00545,0.420936,0.0137,6084,6404,6760,7080,13484,11,13,True,True
uniform_n1000,first_fit,0,798,False,2,True,True,2.776388,0.017921,2.271989,0.00539,0.038271,0.006552,0.420946,0.012803,6084,6404,6760,7080,13484,13,13,True,True
uniform_n1000,pbc,0,916,True,0,True,False,3.609393,0.022577,2.958653,0.005956,0.041543,0.011584,0.55394,0.012527,6960,7448,8320,8808,16256,11,20,True,True
uniform_n1000,pbc,0,916,False,1,True,True,3.351934,0.021414,2.731565,0.006478,0.043861,0.005614,0.526513,0.012277,6960,7448,8320,8808,16256,11,20,True,True
uniform_n1000,pbc,0,798,False,2,True,True,3.646317,0.023464,2.852081,0.009153,0.051274,0.007041,0.681227,0.01786,6960,7448,8320,8808,16256,13,20,True,True
