id,source_index,n,N,m,B_joint,OPT,original_AB,pair_union,three_color,three_then_four,original_AB_coloring_seconds,pair_additional_seconds,three_additional_seconds,four_additional_seconds,final_stop
S0000,0,2,2,1,2,2,2,2,2,2,1.8700025975704193e-05,4.800036549568176e-06,3.00002284348011e-06,1.700012944638729e-06,capacity_certificate
S0001,1,3,4,2,2,2,2,2,2,2,3.2400013878941536e-05,2.7999049052596092e-06,1.600012183189392e-06,1.00000761449337e-06,capacity_certificate
S0002,2,4,6,3,2,2,2,2,2,2,4.1899969801306725e-05,2.100015990436077e-06,1.300009898841381e-06,9.00006853044033e-07,capacity_certificate
S0003,3,4,6,2,3,3,3,3,3,3,4.269997589290142e-05,2.00001522898674e-06,9.00006853044033e-07,8.00006091594696e-07,capacity_certificate
S0004,4,5,8,4,2,2,2,2,2,2,6.19000056758523e-05,2.299901098012924e-06,1.400010660290718e-06,1.100008375942707e-06,capacity_certificate
S0005,5,5,8,3,3,3,3,3,3,3,7.069995626807213e-05,2.200016751885414e-06,1.200009137392044e-06,1.00000761449337e-06,capacity_certificate
S0006,6,5,8,3,3,3,3,3,3,3,8.509994950145483e-05,2.00001522898674e-06,1.300009898841381e-06,9.00006853044033e-07,capacity_certificate
S0007,7,6,10,5,2,2,2,2,2,2,9.220000356435776e-05,2.400018274784088e-06,1.600012183189392e-06,1.300009898841381e-06,capacity_certificate
S0008,8,6,10,4,3,3,3,3,3,3,0.00011059991084039211,2.400018274784088e-06,1.500011421740055e-06,1.300009898841381e-06,capacity_certificate
S0009,9,6,10,4,3,3,3,3,3,3,0.00012940005399286747,2.300017513334751e-06,1.400010660290718e-06,1.100008375942707e-06,capacity_certificate
S0010,10,6,10,4,3,3,3,3,3,3,0.00014300004113465548,2.200016751885414e-06,1.3998942449688911e-06,1.200009137392044e-06,capacity_certificate
S0011,11,6,10,3,4,4,4,4,4,4,8.530006743967533e-05,2.100015990436077e-06,1.200009137392044e-06,9.998911991715431e-07,capacity_certificate
