dataset,height,seed,active_records,active_width_m,pbc_buckets,max_bucket_size,replicated_records,padded_records,query_samples,cuckoo_failures,cuckoo_failure_rate,server_map_ms,client_cuckoo_ms,manifest
Polygon zkEVM recent,128,73000,766,11,17,151,2298,2567,50,0,0.0,3.155400998366531,13.881859995308332,examples/treepir_pbc_active_linux_latest/seed73000/polygon_zkevm_recent_h128/treepir_pbc_active/manifest.json
Polygon zkEVM recent,128,83000,766,11,17,151,2298,2567,50,0,0.0,3.0533909957739525,14.143858003080823,examples/treepir_pbc_active_linux_latest/seed83000/polygon_zkevm_recent_h128/treepir_pbc_active/manifest.json
Polygon zkEVM recent,128,93000,766,11,17,151,2298,2567,50,0,0.0,3.62351699732244,18.270153996127192,examples/treepir_pbc_active_linux_latest/seed93000/polygon_zkevm_recent_h128/treepir_pbc_active/manifest.json
Polygon zkEVM multi-window,128,73000,2694,14,21,418,8082,8778,50,1,0.02,19.378614000743255,46.53829299786594,examples/treepir_pbc_active_linux_latest/seed73000/polygon_zkevm_multi-window_h128/treepir_pbc_active/manifest.json
Polygon zkEVM multi-window,128,83000,2694,14,21,418,8082,8778,50,0,0.0,10.098833998199552,48.26455999864265,examples/treepir_pbc_active_linux_latest/seed83000/polygon_zkevm_multi-window_h128/treepir_pbc_active/manifest.json
Polygon zkEVM multi-window,128,93000,2694,14,21,418,8082,8778,50,0,0.0,10.344408001401462,48.0928059987491,examples/treepir_pbc_active_linux_latest/seed93000/polygon_zkevm_multi-window_h128/treepir_pbc_active/manifest.json
Polygon zkEVM broad,128,73000,14078,17,26,1693,42234,44018,50,0,0.0,58.905467005388346,242.4798349966295,examples/treepir_pbc_active_linux_latest/seed73000/polygon_zkevm_broad_h128/treepir_pbc_active/manifest.json
Polygon zkEVM broad,128,83000,14078,17,26,1693,42234,44018,50,1,0.02,50.95819500274956,247.58425100299064,examples/treepir_pbc_active_linux_latest/seed83000/polygon_zkevm_broad_h128/treepir_pbc_active/manifest.json
Polygon zkEVM broad,128,93000,14078,17,26,1693,42234,44018,50,0,0.0,52.040305999980774,240.90926600183593,examples/treepir_pbc_active_linux_latest/seed93000/polygon_zkevm_broad_h128/treepir_pbc_active/manifest.json
ZKsync Era sample,128,73000,1910,13,20,317,5730,6340,50,0,0.0,7.863767001254018,33.76520299934782,examples/treepir_pbc_active_linux_latest/seed73000/zksync_era_sample_h128/treepir_pbc_active/manifest.json
ZKsync Era sample,128,83000,1910,13,20,317,5730,6340,50,0,0.0,7.460528002411593,34.82381399953738,examples/treepir_pbc_active_linux_latest/seed83000/zksync_era_sample_h128/treepir_pbc_active/manifest.json
ZKsync Era sample,128,93000,1910,13,20,317,5730,6340,50,0,0.0,7.606336002936587,34.65227400010917,examples/treepir_pbc_active_linux_latest/seed93000/zksync_era_sample_h128/treepir_pbc_active/manifest.json
ZKsync Era broad,128,73000,15478,17,26,1850,46434,48100,50,0,0.0,63.28349999967031,268.6290999990888,examples/treepir_pbc_active_linux_latest/seed73000/zksync_era_broad_h128/treepir_pbc_active/manifest.json
ZKsync Era broad,128,83000,15478,17,26,1850,46434,48100,50,0,0.0,61.46359699778259,273.08185800211504,examples/treepir_pbc_active_linux_latest/seed83000/zksync_era_broad_h128/treepir_pbc_active/manifest.json
ZKsync Era broad,128,93000,15478,17,26,1850,46434,48100,50,0,0.0,54.77894300565822,264.07012100389693,examples/treepir_pbc_active_linux_latest/seed93000/zksync_era_broad_h128/treepir_pbc_active/manifest.json
FuelLabs SMT test vectors,128,73000,198,9,14,49,594,686,50,0,0.0,10.149203000764828,4.68850000470411,examples/treepir_pbc_active_linux_latest/seed73000/fuellabs_smt_test_vectors_h128/treepir_pbc_active/manifest.json
FuelLabs SMT test vectors,128,83000,198,9,14,49,594,686,50,0,0.0,1.199792000988964,6.441255995014217,examples/treepir_pbc_active_linux_latest/seed83000/fuellabs_smt_test_vectors_h128/treepir_pbc_active/manifest.json
FuelLabs SMT test vectors,128,93000,198,9,14,49,594,686,50,0,0.0,1.0638670064508915,5.099717003758997,examples/treepir_pbc_active_linux_latest/seed93000/fuellabs_smt_test_vectors_h128/treepir_pbc_active/manifest.json
