dataset,height,seed,active_records,active_width_m,pbc_buckets,max_bucket_size,replicated_records,padded_records,query_samples,cuckoo_failures,cuckoo_failure_rate,server_map_ms,client_cuckoo_ms,manifest,backend,width,colors,stored_records_padded_runner,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb
Polygon zkEVM recent,128,73000,766,11,17,151,2298,2567,50,0,0.0,3.155400998366531,13.881859995308332,examples/treepir_pbc_active_linux_latest/seed73000/polygon_zkevm_recent_h128/treepir_pbc_active/manifest.json,SimplePIR,17,17,2567,9.739137,12.677228500000002,0.04739366,0.0045225,0.7302037199999981,13056,14.34375,12.75,27.09375
Polygon zkEVM recent,128,83000,766,11,17,151,2298,2567,50,0,0.0,3.0533909957739525,14.143858003080823,examples/treepir_pbc_active_linux_latest/seed83000/polygon_zkevm_recent_h128/treepir_pbc_active/manifest.json,SimplePIR,17,17,2567,9.254848999999993,12.547053759999976,0.04518604,0.0036912199999999994,0.7189377599999976,13056,14.34375,12.75,27.09375
Polygon zkEVM recent,128,93000,766,11,17,151,2298,2567,50,0,0.0,3.62351699732244,18.270153996127192,examples/treepir_pbc_active_linux_latest/seed93000/polygon_zkevm_recent_h128/treepir_pbc_active/manifest.json,SimplePIR,17,17,2567,11.153854000000003,12.898929900000006,0.05019994000000001,0.00691706,0.7347574199999972,13056,14.34375,12.75,27.09375
Polygon zkEVM multi-window,128,73000,2694,14,21,418,8082,8778,50,1,0.02,19.378614000743255,46.53829299786594,examples/treepir_pbc_active_linux_latest/seed73000/polygon_zkevm_multi-window_h128/treepir_pbc_active/manifest.json,SimplePIR,21,21,8778,30.076642,19.263501420000036,0.09795181999999997,0.010179,1.5160717599999964,26880,27.5625,26.25,53.8125
Polygon zkEVM multi-window,128,83000,2694,14,21,418,8082,8778,50,0,0.0,10.098833998199552,48.26455999864265,examples/treepir_pbc_active_linux_latest/seed83000/polygon_zkevm_multi-window_h128/treepir_pbc_active/manifest.json,SimplePIR,21,21,8778,27.360566999999996,18.843478980000015,0.09140751999999999,0.0074728600000000004,1.473774980000003,26880,27.5625,26.25,53.8125
Polygon zkEVM multi-window,128,93000,2694,14,21,418,8082,8778,50,0,0.0,10.344408001401462,48.0928059987491,examples/treepir_pbc_active_linux_latest/seed93000/polygon_zkevm_multi-window_h128/treepir_pbc_active/manifest.json,SimplePIR,21,21,8778,27.139959000000005,18.739823619999964,0.09119114000000002,0.0071378200000000004,1.4843598399999949,26880,27.5625,26.25,53.8125
Polygon zkEVM broad,128,73000,14078,17,26,1693,42234,44018,50,0,0.0,58.905467005388346,242.4798349966295,examples/treepir_pbc_active_linux_latest/seed73000/polygon_zkevm_broad_h128/treepir_pbc_active/manifest.json,SimplePIR,26,26,44018,111.20066199999987,31.87882721999998,0.26844186000000003,0.0165563,3.6302420799999875,69888,65.8125,68.25,134.0625
Polygon zkEVM broad,128,83000,14078,17,26,1693,42234,44018,50,1,0.02,50.95819500274956,247.58425100299064,examples/treepir_pbc_active_linux_latest/seed83000/polygon_zkevm_broad_h128/treepir_pbc_active/manifest.json,SimplePIR,26,26,44018,110.99511800000005,31.909001160000024,0.27520955999999996,0.017424679999999998,3.6886315000000116,69888,65.8125,68.25,134.0625
Polygon zkEVM broad,128,93000,14078,17,26,1693,42234,44018,50,0,0.0,52.040305999980774,240.90926600183593,examples/treepir_pbc_active_linux_latest/seed93000/polygon_zkevm_broad_h128/treepir_pbc_active/manifest.json,SimplePIR,26,26,44018,108.91178800000003,31.7391849400001,0.2729048200000001,0.01883701999999999,3.6261507800000046,69888,65.8125,68.25,134.0625
ZKsync Era sample,128,73000,1910,13,20,317,5730,6340,50,0,0.0,7.863767001254018,33.76520299934782,examples/treepir_pbc_active_linux_latest/seed73000/zksync_era_sample_h128/treepir_pbc_active/manifest.json,SimplePIR,20,20,6340,21.301549,17.09296930000001,0.07721914000000002,0.008316319999999997,1.2723285199999992,23040,22.5,22.5,45
ZKsync Era sample,128,83000,1910,13,20,317,5730,6340,50,0,0.0,7.460528002411593,34.82381399953738,examples/treepir_pbc_active_linux_latest/seed83000/zksync_era_sample_h128/treepir_pbc_active/manifest.json,SimplePIR,20,20,6340,21.019660999999985,16.954277919999985,0.07497282,0.0065523199999999995,1.2880993400000005,23040,22.5,22.5,45
ZKsync Era sample,128,93000,1910,13,20,317,5730,6340,50,0,0.0,7.606336002936587,34.65227400010917,examples/treepir_pbc_active_linux_latest/seed93000/zksync_era_sample_h128/treepir_pbc_active/manifest.json,SimplePIR,20,20,6340,20.437191999999996,17.055890840000064,0.07551632,0.0066510999999999975,1.273553660000005,23040,22.5,22.5,45
ZKsync Era broad,128,73000,15478,17,26,1850,46434,48100,50,0,0.0,63.28349999967031,268.6290999990888,examples/treepir_pbc_active_linux_latest/seed73000/zksync_era_broad_h128/treepir_pbc_active/manifest.json,SimplePIR,26,26,48100,116.731749,31.74496281999994,0.25933340000000016,0.016128740000000003,3.502635440000008,73216,70.6875,71.5,142.1875
ZKsync Era broad,128,83000,15478,17,26,1850,46434,48100,50,0,0.0,61.46359699778259,273.08185800211504,examples/treepir_pbc_active_linux_latest/seed83000/zksync_era_broad_h128/treepir_pbc_active/manifest.json,SimplePIR,26,26,48100,120.88655199999997,31.90395692,0.25849486000000005,0.013672100000000003,3.5619414999999823,73216,70.6875,71.5,142.1875
ZKsync Era broad,128,93000,15478,17,26,1850,46434,48100,50,0,0.0,54.77894300565822,264.07012100389693,examples/treepir_pbc_active_linux_latest/seed93000/zksync_era_broad_h128/treepir_pbc_active/manifest.json,SimplePIR,26,26,48100,122.320125,32.05053937999994,0.26028629999999997,0.0166676,3.532277820000003,73216,70.6875,71.5,142.1875
FuelLabs SMT test vectors,128,73000,198,9,14,49,594,686,50,0,0.0,10.149203000764828,4.68850000470411,examples/treepir_pbc_active_linux_latest/seed73000/fuellabs_smt_test_vectors_h128/treepir_pbc_active/manifest.json,SimplePIR,14,14,686,3.910783999999999,8.844902620000008,0.03144278000000002,0.0033546800000000005,0.28703003999999976,7168,6.5625,7,13.5625
FuelLabs SMT test vectors,128,83000,198,9,14,49,594,686,50,0,0.0,1.199792000988964,6.441255995014217,examples/treepir_pbc_active_linux_latest/seed83000/fuellabs_smt_test_vectors_h128/treepir_pbc_active/manifest.json,SimplePIR,14,14,686,3.632497,8.82888495999999,0.03206208,0.0038313400000000004,0.2932158600000005,7168,6.5625,7,13.5625
FuelLabs SMT test vectors,128,93000,198,9,14,49,594,686,50,0,0.0,1.0638670064508915,5.099717003758997,examples/treepir_pbc_active_linux_latest/seed93000/fuellabs_smt_test_vectors_h128/treepir_pbc_active/manifest.json,SimplePIR,14,14,686,3.5353199999999996,8.866554259999981,0.03499082,0.006368900000000002,0.30596957999999935,7168,6.5625,7,13.5625
