section,metric,value
2server-XOR-PIR-model,datasets,6.0
2server-XOR-PIR-model,avg_online_reduction_pct,52.717508645291055
2server-XOR-PIR-model,avg_query_reduction_pct,100.0
2server-XOR-PIR-model,avg_parallel_reduction_pct,48.61140566425088
LWE-PIR-prototype-d64,datasets,6.0
LWE-PIR-prototype-d64,avg_online_reduction_pct,62.29388328925738
LWE-PIR-prototype-d64,avg_query_reduction_pct,53.49090638564853
LWE-PIR-prototype-d64,avg_parallel_reduction_pct,48.12662692923893
PIANO-local-runner,datasets,6.0
PIANO-local-runner,avg_online_reduction_pct,51.50783873534173
PIANO-local-runner,avg_query_reduction_pct,34.87547474229931
PIANO-local-runner,avg_parallel_reduction_pct,100.0
SimplePIR-full-api,datasets,6.0
SimplePIR-full-api,avg_online_reduction_pct,52.38031835445921
SimplePIR-full-api,avg_query_reduction_pct,39.82878413860808
SimplePIR-full-api,avg_parallel_reduction_pct,10.322957480421236
real_smt_resource_shape,pbc_storage_reduction_pct,66.66666666666667
real_smt_resource_shape,pbc_width_reduction_pct,34.762084320907846
real_smt_resource_shape,pbc_bucket_reduction_pct,48.61140566425088
real_smt_resource_shape,flat_bucket_reduction_pct,92.10177665098546
treepir_artifact,vbpir_width_reduction_pct,33.333333333333336
treepir_artifact,vbpir_bucket_reduction_pct,54.035874439461885
treepir_artifact,vbpir_query_time_reduction_pct,-6.69542201744926
treepir_artifact,vbpir_answer_time_reduction_pct,3.3383122943584254
treepir_artifact,pbc_map_db_ratio,4.405993333333334
