height,sparsity,empty_ratio_pct,seed,occupied,active_nodes,scheme,scheme_label,stored_records,digest_storage_kb,metadata_kb,width,exact_width,max_bucket,bucket_gap,max_bucket_over_ideal,backend_status,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb
20,0.9995,99.95,116000,524,1046,perfectized_treepir,Perfectized-TreePIR,2097150,65535.9375,0.0,20,12,,,,structural-only,,,,,,,,,
20,0.9995,99.95,116000,524,1046,pbc_active,PBC-active,3138,98.0625,49.03125,18,12,175,,1.0,PBC formula,,,,,,,,,
20,0.9995,99.95,116000,524,1046,flat_normal_pir_m,Flat-normal-PIR-m,1046,32.6875,24.515625,12,12,1046,0,1.0,full-simplepir-api,2.2619000000000002,11.600933333333336,0,0,0.8784333333333333,2048,24.75,24,48.75
20,0.9995,99.95,116000,524,1046,pruned_treepir_h,Pruned-TreePIR-h,1048,32.75,24.515625,20,12,212,212,4.0,full-simplepir-api,4.3195,11.50053333333333,0,0,0,7808,7.5,7.625,15.125
20,0.9995,99.95,116000,524,1046,profile_balanced,Profile-balanced,1046,32.6875,24.515625,12,12,88,3,1.0,full-simplepir-api,3.0043999999999995,7.5944,0,0,0.1824,7680,6.75,7.5,14.25
20,0.99975,99.97500000000001,116100,262,522,perfectized_treepir,Perfectized-TreePIR,2097150,65535.9375,0.0,20,10,,,,structural-only,,,,,,,,,
20,0.99975,99.97500000000001,116100,262,522,pbc_active,PBC-active,1566,48.9375,24.46875,15,10,105,,1.0,PBC formula,,,,,,,,,
20,0.99975,99.97500000000001,116100,262,522,flat_normal_pir_m,Flat-normal-PIR-m,522,16.3125,12.234375,10,10,522,0,1.0,full-simplepir-api,3.8116000000000003,7.716833333333333,0,0,0.3448,1536,14.0625,15,29.0625
20,0.99975,99.97500000000001,116100,262,522,pruned_treepir_h,Pruned-TreePIR-h,528,16.5,12.234375,20,10,118,118,4.37037037037037,full-simplepir-api,1.0926,10.887466666666663,1.0021333333333333,1.0021333333333333,0.3333333333333333,5888,5.71875,5.75,11.46875
20,0.99975,99.97500000000001,116100,262,522,profile_balanced,Profile-balanced,522,16.3125,12.234375,10,10,53,1,1.0,full-simplepir-api,3.1875,10.652,0,0,0.6670666666666666,5120,4.6875,5,9.6875
20,0.9999,99.99,116200,105,208,perfectized_treepir,Perfectized-TreePIR,2097150,65535.9375,0.0,20,9,,,,structural-only,,,,,,,,,
20,0.9999,99.99,116200,105,208,pbc_active,PBC-active,624,19.5,9.75,14,9,47,,1.0444444444444445,PBC formula,,,,,,,,,
20,0.9999,99.99,116200,105,208,flat_normal_pir_m,Flat-normal-PIR-m,208,6.5,4.875,9,9,208,0,1.0,full-simplepir-api,1.0845,6.800900000000002,0,0,0,896,8.4375,7.875,16.3125
20,0.9999,99.99,116200,105,208,pruned_treepir_h,Pruned-TreePIR-h,216,6.75,4.875,20,9,46,46,4.181818181818182,full-simplepir-api,4.0038,10.9798,0,0,0,4352,3.75,4.25,8
20,0.9999,99.99,116200,105,208,profile_balanced,Profile-balanced,208,6.5,4.875,9,9,24,1,1.0,full-simplepir-api,3.5622000000000003,7.907800000000001,0,0,1.5065666666666668,3456,2.53125,3.375,5.90625
24,0.9995,99.95,120000,8389,16776,perfectized_treepir,Perfectized-TreePIR,33554430,1048575.9375,0.0,24,17,,,,structural-only,,,,,,,,,
24,0.9995,99.95,120000,8389,16776,pbc_active,PBC-active,50328,1572.75,786.375,26,17,1974,,1.0196280991735538,PBC formula,,,,,,,,,
24,0.9995,99.95,120000,8389,16776,flat_normal_pir_m,Flat-normal-PIR-m,16776,524.25,393.1875,17,17,16776,0,1.0,full-simplepir-api,40.155699999999996,64.44053333333335,2.2634333333333334,1.0354,5.733066666666666,8320,138.65625,138.125,276.78125
24,0.9995,99.95,120000,8389,16776,pruned_treepir_h,Pruned-TreePIR-h,16776,524.25,393.1875,24,17,3312,3310,4.738197424892704,full-simplepir-api,49.970600000000005,22.951533333333327,0.5115999999999999,0.5115999999999999,2.0356333333333336,30080,29.625,29.375,59
24,0.9995,99.95,120000,8389,16776,profile_balanced,Profile-balanced,16776,524.25,393.1875,17,17,992,26,1.005065856129686,full-simplepir-api,47.7239,15.948233333333334,0.3335333333333333,0.3335333333333333,2.5971,34816,33.46875,34,67.46875
24,0.99975,99.97500000000001,120100,4194,8386,perfectized_treepir,Perfectized-TreePIR,33554430,1048575.9375,0.0,24,16,,,,structural-only,,,,,,,,,
24,0.99975,99.97500000000001,120100,4194,8386,pbc_active,PBC-active,25158,786.1875,393.09375,24,16,1049,,1.0,PBC formula,,,,,,,,,
24,0.99975,99.97500000000001,120100,4194,8386,flat_normal_pir_m,Flat-normal-PIR-m,8386,262.0625,196.546875,16,16,8386,0,1.0,full-simplepir-api,25.841899999999995,29.913700000000006,0.3333,0.3333,8.000266666666667,5888,91.5,92,183.5
24,0.99975,99.97500000000001,120100,4194,8386,pruned_treepir_h,Pruned-TreePIR-h,8387,262.09375,196.546875,24,16,1600,1600,4.571428571428571,full-simplepir-api,23.0501,17.2289,0,0,1.3352000000000002,21632,21.28125,21.125,42.40625
24,0.99975,99.97500000000001,120100,4194,8386,profile_balanced,Profile-balanced,8386,262.0625,196.546875,16,16,535,31,1.019047619047619,full-simplepir-api,29.31,12.468166666666669,0,0,2.2727,24448,22.59375,23.875,46.46875
24,0.9999,99.99,120200,1678,3354,perfectized_treepir,Perfectized-TreePIR,33554430,1048575.9375,0.0,24,14,,,,structural-only,,,,,,,,,
24,0.9999,99.99,120200,1678,3354,pbc_active,PBC-active,10062,314.4375,157.21875,21,14,480,,1.0,PBC formula,,,,,,,,,
